ticket_level_commission_id,product_id,distributor_id,commission,hotel_prepaid_commission_percentage,is_hotel_prepaid_commission_percentage,commission_on_sale_price,hgs_prepaid_commission_percentage,ticket_net_price,museum_net_commission,merchant_net_commission,hotel_commission_net_price,hgs_commission_net_price
1619311	13907	6098	25	25.00	1	1	75.00	1.00	0.65	0.00	0.25	0.10
1619314	13907	6098	25	25.00	1	1	75.00	62.00	32.70	0.00	15.50	10.00
1619317	13907	6098	25	25.00	1	1	75.00	52.00	26.20	0.00	13.00	9.00
1619320	13907	6098	25	25.00	1	1	75.00	57.00	29.45	0.00	14.25	9.50
1619323	13907	6098	25	25.00	1	1	75.00	57.00	29.45	0.00	14.25	9.50
1619326	13907	6098	25	25.00	1	1	75.00	218.00	134.10	0.00	54.50	25.60
1619329	13907	6098	25	25.00	1	1	75.00	65.00	34.65	0.00	16.25	10.30
1619332	13907	6098	25	25.00	1	1	75.00	55.00	28.15	0.00	13.75	9.30
1619335	13907	6098	25	25.00	1	1	75.00	59.00	30.75	0.00	14.75	9.70
1619338	13907	6098	25	25.00	1	1	75.00	59.00	30.75	0.00	14.75	9.70
1619341	13907	6098	25	25.00	1	1	75.00	230.00	141.90	0.00	57.50	26.80
1684492	13907	6155	25	25.00	1	1	75.00	1.00	0.75	0.00	0.25	0.00
1684495	13907	6155	25	25.00	1	1	75.00	62.00	38.90	0.00	15.50	3.80
1684498	13907	6155	25	25.00	1	1	75.00	52.00	31.40	0.00	13.00	3.80
1684501	13907	6155	25	25.00	1	1	75.00	57.00	35.15	0.00	14.25	3.80
1684504	13907	6155	25	25.00	1	1	75.00	57.00	35.15	0.00	14.25	3.80
1684507	13907	6155	25	25.00	1	1	75.00	218.00	155.90	0.00	54.50	3.80
1684510	13907	6155	25	25.00	1	1	75.00	65.00	41.15	0.00	16.25	3.80
1684513	13907	6155	25	25.00	1	1	75.00	55.00	33.65	0.00	13.75	3.80
1684516	13907	6155	25	25.00	1	1	75.00	59.00	36.65	0.00	14.75	3.80
1684519	13907	6155	25	25.00	1	1	75.00	59.00	36.65	0.00	14.75	3.80
1684522	13907	6155	25	25.00	1	1	75.00	230.00	164.90	0.00	57.50	3.80
1908982	13907	7919	30	28.00	1	1	72.00	1.00	0.00	0.00	0.28	0.72
1908985	13907	7919	30	28.00	1	1	72.00	62.00	0.00	0.00	17.36	44.64
1908988	13907	7919	30	28.00	1	1	72.00	52.00	0.00	0.00	14.56	37.44
1908991	13907	7919	30	28.00	1	1	72.00	57.00	0.00	0.00	15.96	41.04
1908994	13907	7919	30	28.00	1	1	72.00	57.00	0.00	0.00	15.96	41.04
1908997	13907	7919	30	28.00	1	1	72.00	218.00	0.00	0.00	61.04	156.96
1909000	13907	7919	30	28.00	1	1	72.00	65.00	0.00	0.00	18.20	46.80
1909003	13907	7919	30	28.00	1	1	72.00	55.00	0.00	0.00	15.40	39.60
1909006	13907	7919	30	28.00	1	1	72.00	59.00	0.00	0.00	16.52	42.48
1909009	13907	7919	30	28.00	1	1	72.00	59.00	0.00	0.00	16.52	42.48
1909012	13907	7919	30	28.00	1	1	72.00	230.00	0.00	0.00	64.40	165.60
1908892	15620	7919	30	28.00	1	1	72.00	85.00	0.00	0.00	23.80	61.20
1908895	15620	7919	30	28.00	1	1	72.00	75.00	0.00	0.00	21.00	54.00
1908898	15620	7919	30	28.00	1	1	72.00	79.00	0.00	0.00	22.12	56.88
1908901	15620	7919	30	28.00	1	1	72.00	79.00	0.00	0.00	22.12	56.88
1908904	15620	7919	30	28.00	1	1	72.00	310.00	0.00	0.00	86.80	223.20
1908907	15620	7919	30	28.00	1	1	72.00	89.00	0.00	0.00	24.92	64.08
1908910	15620	7919	30	28.00	1	1	72.00	79.00	0.00	0.00	22.12	56.88
1908913	15620	7919	30	28.00	1	1	72.00	84.00	0.00	0.00	23.52	60.48
1908916	15620	7919	30	28.00	1	1	72.00	84.00	0.00	0.00	23.52	60.48
1908919	15620	7919	30	28.00	1	1	72.00	326.00	0.00	0.00	91.28	234.72
1908811	13892	7919	30	28.00	1	1	72.00	1.00	0.00	0.00	0.28	0.72
1908814	13892	7919	30	28.00	1	1	72.00	119.00	0.00	0.00	33.32	85.68
1908817	13892	7919	30	28.00	1	1	72.00	109.00	0.00	0.00	30.52	78.48
1908820	13892	7919	30	28.00	1	1	72.00	114.00	0.00	0.00	31.92	82.08
1908823	13892	7919	30	28.00	1	1	72.00	114.00	0.00	0.00	31.92	82.08
1908826	13892	7919	30	28.00	1	1	72.00	446.00	0.00	0.00	124.88	321.12
1619344	14045	6098	25	25.00	1	1	75.00	1.00	0.65	0.00	0.25	0.10
1619347	14045	6098	25	25.00	1	1	75.00	62.00	32.70	0.00	15.50	10.00
1619350	14045	6098	25	25.00	1	1	75.00	52.00	26.20	0.00	13.00	9.00
1619353	14045	6098	25	25.00	1	1	75.00	57.00	29.45	0.00	14.25	9.50
1619356	14045	6098	25	25.00	1	1	75.00	57.00	29.45	0.00	14.25	9.50
1619359	14045	6098	25	25.00	1	1	75.00	218.00	134.10	0.00	54.50	25.60
1619362	14045	6098	25	25.00	1	1	75.00	65.00	34.65	0.00	16.25	10.30
1619365	14045	6098	25	25.00	1	1	75.00	55.00	28.15	0.00	13.75	9.30
1619368	14045	6098	25	25.00	1	1	75.00	59.00	30.75	0.00	14.75	9.70
1619371	14045	6098	25	25.00	1	1	75.00	59.00	30.75	0.00	14.75	9.70
1619374	14045	6098	25	25.00	1	1	75.00	230.00	141.90	0.00	57.50	26.80
