
ordered_product	ticket_id
77621	NULL
77619	NULL
77959	NULL
25229	NULL
79970	NULL
15236	NULL
79967	NULL
86245	NULL
62148	NULL
15113	NULL
14015	NULL
81782	NULL
81206	NULL
22600	NULL
81859	NULL
81787	NULL
81707	NULL
81699	NULL
81709	NULL
15038	NULL
81721	NULL
87659	NULL
87622	NULL
81726	NULL
86198	NULL
81832	NULL
87907	NULL
87582	NULL
87594	NULL
81775	NULL
