
order_distributor	hotel_id
51421	NULL
52904	NULL
51661	NULL
51554	NULL
13491	NULL
10736	NULL
51237	NULL
51924	NULL
45821	NULL
51553	NULL
51337	NULL
51239	NULL
53206	NULL
48548	NULL
11489	NULL
52180	NULL
51886	NULL
51537	NULL
51806	NULL
13906	NULL
12920	NULL
38218	NULL
52049	NULL
2425	NULL
53546	NULL
53488	NULL
51349	NULL
27420	NULL
53594	NULL
51462	NULL
53205	NULL
14081	NULL
51587	NULL
27900	NULL
51235	NULL
50293	NULL
51007	NULL
1790	NULL
52906	NULL
7121	NULL
51402	NULL
51696	NULL
51236	NULL
13933	NULL
2965	NULL
13356	NULL
53489	NULL
13203	NULL
51944	NULL
35700	NULL
52756	NULL
13034	NULL
38214	NULL
13520	NULL
51687	NULL
51754	NULL
5957	NULL
5960	NULL
5963	NULL
846	NULL
2648	NULL
51832	NULL
405	NULL
49055	NULL
686	NULL
48832	NULL
8942	NULL
