ticket_id,tps_id,hotel_id,channel_id,reseller_id
25048,420078,44587,830,541
13928,428464,457,12,15
13670,90248,48203,830,541
13829,421825,6458,830,541
14366,427667,6215,830,541
15566,339897,7673,830,541
14411,187272,6809,830,541
15089,429118,5960,517,541
70902,350997,405,30,19
19170,303529,41899,830,541
13670,78863,29465,830,541
15113,404130,722,10,17
13652,78815,44377,830,541
13928,428463,405,30,19
13799,428289,6257,830,541
14165,358174,7130,830,541
13775,126890,457,12,541
50601,303546,47586,830,541
13766,79592,8984,830,541
13928,339734,7055,830,541
70893,339825,457,12,15
14153,450859,7073,830,541
14159,362453,34002,830,541
13832,339497,47287,830,541
22622,340125,722,10,17
79967,428948,2899,262,211
13928,428466,457,12,15
22043,320164,7655,830,541
15590,339910,457,12,15
14153,450859,7307,830,541
13739,112953,7199,830,541
70902,339835,405,30,19
13751,79529,49055,5021,541
13421,77141,49503,830,541
13541,78470,722,10,541
13952,339760,5963,517,541
13670,78863,53489,517,541
13829,421821,818,28,61
13916,428449,27476,1430,1380
15599,339931,5960,517,541
14159,362453,51924,830,541
13652,78815,34124,830,541
13997,341178,2899,262,211
14033,339545,818,28,61
13820,384502,8666,830,541
13931,339575,722,10,17
14153,387858,33504,830,541
13904,339896,818,28,61
14159,362454,7514,830,541
52867,421037,6281,830,541
14504,407860,818,28,61
14159,362454,7073,830,541
50545,303561,53546,830,541
13955,428542,722,10,17
13829,421820,722,10,17
52867,421039,34188,830,541
14159,362456,7031,830,541
14159,362454,51854,830,541
14432,303566,6749,830,541
13541,78470,457,12,541
13424,112593,9125,830,541
13928,339734,722,10,17
15653,340099,27476,1430,1380
13829,421819,722,10,17
13982,428772,457,12,15
13952,339760,457,12,15
22886,339225,47287,830,541
13754,79538,722,10,541
15653,430129,457,12,15
70902,350997,722,10,17
15605,339947,49055,5021,4341
26483,430905,44587,830,541
14162,421045,405,30,19
13658,78827,2648,156,541
23158,339751,722,10,17
57039,428557,722,10,17
13424,112599,457,12,541
13421,77141,49764,830,541
13928,339734,846,16,69
14165,358173,7307,830,541
13829,454862,5957,665,674
13829,421827,8942,517,541
60609,415013,457,12,15
13751,79532,2899,262,541
13982,341169,457,12,15
14159,362453,49060,0,541
13670,78860,53911,830,541
13613,78725,722,10,541
13670,78860,6215,830,541
13928,428463,9125,830,541
13916,428449,8756,830,541
57039,428560,722,10,17
13829,454865,2648,156,114
13928,339734,6638,830,541
68788,419396,8480,830,541
70902,350997,457,12,15
13652,78815,6146,830,541
15605,339946,6278,830,541
13934,81002,33310,830,541
13619,112545,5960,517,541
40338,428262,457,12,15
15659,428303,722,10,17
13742,79508,8480,830,541
13817,384498,7772,830,541
52867,421037,7655,830,541
13805,428902,30643,830,541
13742,79508,44587,830,541
13796,428277,8480,830,541
57036,428546,457,12,15
13928,339734,818,28,61
13718,79445,8975,830,541
13754,79544,7979,830,541
50601,303546,6878,830,541
61395,414992,722,10,17
13931,339576,457,12,15
13829,421827,6215,830,541
13421,77141,2965,262,541
13613,78722,6179,830,541
14165,457666,818,28,61
15650,340107,8975,830,541
57039,428557,5960,517,541
13652,78815,45492,830,541
50601,303546,7418,830,541
15569,427008,8984,830,541
13742,79508,846,16,541
15599,339927,457,12,15
23158,428479,722,10,17
14159,383319,45291,830,541
87582,438529,722,10,17
14426,303504,7964,830,541
14159,362454,7100,830,541
14153,387856,7349,830,541
13670,78860,7118,830,541
13904,339891,5960,517,541
15605,428533,457,12,15
79659,398784,8897,830,541
13829,421823,13203,1304,686
14159,362455,7307,830,541
14504,407857,5957,665,674
13820,384501,7901,830,541
59633,433986,44063,830,541
13739,112953,6386,830,541
13955,339952,722,10,17
13751,121251,8942,517,541
22636,430152,457,12,15
13670,78860,51696,517,541
13799,339247,6257,830,541
13826,272824,722,10,17
23158,339751,34188,830,541
86245,433466,5963,517,541
81172,407902,5960,517,541
40338,428260,30643,830,541
13682,206390,30643,830,541
15566,339900,5960,517,541
15590,339910,2899,262,211
68685,419211,8339,830,541
14504,407860,7700,830,541
52867,421038,7655,830,541
13424,112593,6179,830,541
22578,428456,44063,830,541
22886,339225,818,28,61
14231,366791,51661,830,541
22578,339549,27476,1430,1380
13826,272822,6275,830,541
14159,362453,51854,830,541
14153,387856,5960,517,541
74762,428580,722,10,17
13829,422879,5957,665,674
14033,339544,5960,517,541
13721,113067,2899,262,541
13724,79469,6278,830,541
15569,427016,722,10,17
15659,428300,8480,830,541
25050,430898,44587,830,541
13682,428250,5960,517,541
13721,113067,722,10,541
23158,339751,11745,830,541
14153,387858,7145,830,541
57036,339958,457,12,15
81206,408096,722,10,17
13829,421827,7055,830,541
13829,454966,6458,830,541
14357,450867,5960,517,541
13754,79541,2899,262,541
25037,404790,44587,830,541
14033,429803,457,12,15
13724,121250,8942,517,541
13652,78815,6608,830,541
22578,339551,5960,517,541
14231,366787,49777,830,541
71706,429300,44063,830,541
13829,422869,686,14,51
15599,428517,846,16,69
13424,112596,6686,830,541
60609,415013,44587,830,541
13829,422880,722,10,17
15605,339949,818,28,61
70902,339835,846,16,69
13718,79439,6743,830,541
79967,401127,818,28,61
14159,362453,7031,830,541
13721,113067,30643,830,541
13904,428484,5960,517,541
13796,314401,45492,830,541
81172,407903,6929,830,541
13832,339498,49055,5021,4341
13421,77141,50293,5157,541
17618,303487,7010,830,541
73825,429099,846,16,69
13721,430733,8480,830,541
13424,112596,5960,517,541
14012,343130,722,10,17
15569,427008,405,30,19
13652,78815,7118,830,541
13850,428410,32795,830,541
14165,358176,38814,830,541
41672,428941,7073,830,541
23445,303545,7895,830,541
13829,421821,5960,517,541
13769,79595,44587,830,541
13421,77141,7055,830,541
52867,421038,7346,830,541
13658,78827,7481,830,541
22584,428528,33310,830,541
14231,366787,6929,830,541
81859,411338,5960,517,541
15089,341223,457,12,15
13796,428278,722,10,17
13829,421818,44629,830,541
52867,421038,6179,830,541
77959,390067,2899,262,211
13724,79469,818,28,541
13829,422880,6203,830,541
13661,121256,7673,830,541
13421,77141,44377,830,541
13718,79442,53546,830,541
14153,387856,7073,830,541
14153,387855,7307,830,541
15590,339912,44063,830,541
16040,389628,7169,830,541
61384,339243,2899,262,211
13904,339892,2899,262,211
14165,358174,6215,830,541
15038,428841,722,10,17
13829,454985,722,10,17
13751,79535,11136,830,541
14432,303565,42279,830,541
22886,428445,44587,830,541
13790,79682,44587,830,541
13799,339247,846,16,69
50601,303547,7913,830,541
50595,303549,53546,830,541
61384,428273,44587,830,541
13631,78767,846,16,541
13421,77141,50240,830,541
15569,427008,7919,830,541
13682,428253,405,30,19
13769,79595,44063,830,541
52867,421037,7349,830,541
13739,112953,7055,830,541
14165,358177,38814,830,541
13796,428281,44587,830,541
13850,428410,30643,830,541
82215,412909,42279,830,541
15566,339897,6278,830,541
13721,113070,9125,830,541
13928,339734,6257,830,541
13757,113121,5963,517,541
17969,428434,2899,262,211
25050,430899,51924,830,541
14417,417215,7913,830,541
50545,303561,7307,830,541
13799,339248,9029,830,541
14126,303552,6188,830,541
22578,428454,457,12,15
13670,78860,38214,1304,541
15566,428486,457,12,15
25848,406854,8480,830,541
50601,303547,7130,830,541
13652,90239,9029,830,541
13916,428449,457,12,15
15590,428506,846,16,69
13631,78770,6140,830,541
14159,383319,7481,830,541
52867,421038,7772,830,541
13916,428451,6257,830,541
14312,334705,5960,517,541
13658,78827,457,12,541
13652,78815,457,12,541
13670,78863,5957,665,541
13739,112953,44587,830,541
13739,112956,722,10,541
22584,339940,722,10,17
13670,78863,722,10,541
59436,284478,846,16,69
52867,421037,7049,830,541
15590,339909,457,12,15
13670,78863,5963,517,541
14513,390079,5957,665,674
13757,113121,2899,262,541
13829,421823,44587,830,541
13619,112548,722,10,541
13613,78722,9125,830,541
13718,79439,405,30,541
13829,421820,457,12,15
40642,405087,818,28,61
15605,428532,6686,830,541
13829,454971,27476,1430,1380
67436,442036,5960,517,541
14453,433496,8423,830,541
13829,421818,49503,830,541
52867,421037,7601,830,541
13916,339528,846,16,69
13670,78863,44587,830,541
14159,362456,51854,830,541
13931,339577,2899,262,211
15605,339950,457,12,15
13421,77141,405,30,541
13754,79541,5960,517,541
15569,428494,44063,830,541
13769,79595,457,12,541
13904,339891,722,10,17
13613,78722,8480,830,541
13829,454864,405,30,19
13829,454965,6458,830,541
13613,78725,2648,156,541
13928,339734,5960,517,541
13742,79508,2648,156,541
23158,428476,846,16,69
13613,78722,818,28,541
13832,428400,5960,517,541
13721,113073,846,16,541
22584,428530,846,16,69
50601,303547,7655,830,541
22886,339226,722,10,17
13658,78827,6665,830,541
22584,339943,457,12,15
13718,79445,2648,156,541
52867,421037,6380,830,541
22622,340122,722,10,17
14453,433496,50293,5157,4406
73023,354305,5960,517,541
13805,428900,457,12,15
13829,454863,818,28,61
13439,77171,8423,830,541
70902,428568,44063,830,541
13739,112953,44063,830,541
13757,113121,44063,830,541
13670,90248,2648,156,541
13619,112545,8984,830,541
13745,112959,27476,1430,541
13931,428461,846,16,69
52867,421037,7643,830,541
14432,303565,6929,830,541
14159,362453,7976,830,541
22886,428445,5963,517,541
13961,428552,846,16,69
13670,90248,27476,1430,541
13718,79439,8984,830,541
13928,428466,5960,517,541
14159,362453,8702,830,541
22578,339551,457,12,15
15569,427014,2899,262,211
40352,428510,2899,262,211
13829,422880,6458,830,541
81707,430142,457,12,15
87881,440479,51832,5316,1010
59340,442000,5957,665,674
15590,339913,5960,517,541
13820,384501,6665,830,541
13931,428461,5960,517,541
14258,437784,5960,517,541
13829,454863,2899,262,211
13658,78827,30643,830,541
13658,78827,7673,830,541
13931,428458,846,16,69
22886,339229,457,12,15
13724,79469,44587,830,541
13928,428463,51832,5316,1010
13829,421828,846,16,69
13931,428459,722,10,17
22578,339549,8423,830,541
13742,79508,9029,830,541
15599,428517,6257,830,541
69647,333911,5717,830,541
13754,79541,27476,1430,541
13718,79439,1790,140,541
13742,79508,27476,1430,541
14012,430185,5960,517,541
17618,303487,7796,830,541
81206,408099,2648,156,114
14159,362453,8660,830,541
13829,421824,27476,1430,1380
15659,339274,44587,830,541
17618,303487,7130,830,541
14165,358177,5960,517,541
13754,79544,457,12,541
13829,328811,8423,830,541
70902,350997,5960,517,541
13928,339735,5963,517,541
52867,421038,41281,830,541
13832,428401,457,12,15
14258,437784,7418,830,541
16040,389628,7418,830,541
13931,339577,457,12,15
13751,79532,5960,517,541
14381,82037,49055,5021,541
14012,430185,457,12,15
13829,421835,6215,830,541
13904,428484,722,10,17
13817,384498,8675,830,541
46149,419567,45492,830,541
73911,429102,2899,262,211
14798,83966,5960,517,541
13742,79508,7091,830,541
13424,112593,818,28,541
13829,421820,818,28,61
13757,113127,846,16,541
13634,78776,5960,517,541
15605,339949,7784,830,541
13766,79589,2899,262,541
15599,339931,2899,262,211
13754,79538,6257,830,541
13766,79592,818,28,541
13805,339456,8423,830,541
17618,303487,10736,517,541
13619,112545,8420,830,541
13799,428289,8483,830,541
13652,78815,7055,830,541
59633,433986,457,12,15
13652,78815,14235,830,541
15566,428486,8480,830,541
13952,339762,818,28,61
13931,339574,27476,1430,1380
14159,362453,51944,830,541
13832,339498,5960,517,541
70902,339836,7199,830,541
14432,303566,11489,1218,1197
22578,339549,6272,830,541
13829,421818,7751,830,541
13613,78725,9125,830,541
13619,112548,6140,830,541
26591,406868,45492,830,541
13658,78827,11489,1218,541
13613,78722,8420,830,541
50601,303546,7919,830,541
52867,421037,7220,830,541
15569,427009,30643,830,541
14504,407858,44063,830,541
13424,112599,7028,830,541
13997,341177,457,12,15
13421,77141,6269,830,541
13718,79439,49764,830,541
79967,401126,49055,5021,4341
13796,314401,27476,1430,1380
13718,79439,7463,830,541
13805,428902,5957,665,674
13799,339250,457,12,15
13739,112953,6809,830,541
13817,384498,6809,830,541
13652,78815,13277,1304,541
13751,121251,722,10,541
13652,78815,7784,830,541
13631,78767,8423,830,541
13826,272822,8480,830,541
13931,339577,5960,517,541
79967,401126,818,28,61
13652,90239,5717,830,541
13751,79532,846,16,541
14495,285392,5957,665,674
13916,339528,1790,140,99
52867,421037,6203,830,541
14126,303552,47172,830,541
14162,421042,7895,830,541
13631,78767,30643,830,541
13826,272822,51000,830,541
13718,79439,45821,517,541
14027,339547,6278,830,541
52867,421037,7484,830,541
17618,303487,7100,830,541
13916,339532,49055,5021,4341
74770,366841,2899,262,211
15659,339275,2899,262,211
13718,79442,6686,830,541
14492,451293,51854,830,541
15038,403838,722,10,17
13652,78815,6272,830,541
13424,112602,44587,830,541
13421,77141,7772,830,541
13829,454966,722,10,17
13658,78827,7784,830,541
13916,339533,5960,517,541
14228,442335,38814,830,541
14480,451299,5717,830,541
50595,303550,6863,830,541
14036,429734,457,12,15
73023,428440,5960,517,541
25037,319306,44587,830,541
14798,83966,49055,5021,541
13652,90239,6458,830,541
13421,77141,8927,830,541
15590,428506,457,12,15
50575,303500,5960,517,541
13907,243143,818,28,61
14456,362999,8984,830,541
50601,303548,7349,830,541
13682,206386,6203,830,541
23499,341167,5960,517,541
13421,77141,48017,830,541
14495,285388,11818,830,541
14033,339545,5960,517,541
19170,303530,41899,830,541
14336,422862,7655,830,541
15599,339927,405,30,19
23622,350941,8429,830,541
13685,339231,27476,1430,1380
15659,428300,51832,5316,1010
13916,339528,34124,830,541
50575,303501,51421,830,541
13670,78860,7802,830,541
15566,339900,6278,830,541
13652,90239,2648,156,541
13685,339231,722,10,17
14159,362456,7862,830,541
13421,90479,8984,830,541
13652,78815,38214,1304,541
14495,285390,7862,830,541
14159,362454,7499,830,541
13421,77141,6860,830,541
13931,428459,846,16,69
14165,358173,7964,830,541
13916,339531,44377,830,541
13613,78725,33310,830,541
61384,339242,44587,830,541
13829,454863,49503,830,541
40616,319111,818,28,61
14153,387858,7643,830,541
13829,422870,50293,5157,4406
13928,339734,6809,830,541
13799,339247,7718,830,541
14417,438106,7655,830,541
14231,366789,6809,830,541
13658,78827,722,10,541
13928,339734,8423,830,541
15605,339946,457,12,15
13718,79439,818,28,541
13670,78860,457,12,541
13658,78827,9029,830,541
13829,421819,27476,1430,1380
15590,339909,45492,830,541
41672,428941,7307,830,541
13718,79445,722,10,541
15605,339946,5960,517,541
14012,343130,457,12,15
13742,79508,9125,830,541
13658,78827,33310,830,541
52867,421037,7904,830,541
13739,112953,405,30,541
13652,90239,457,12,541
14153,450862,8423,830,541
13652,78815,48832,517,541
13829,421827,5963,517,541
15653,340098,722,10,17
13658,78827,7031,830,541
13739,112953,7031,830,541
13652,78815,2965,262,541
13742,79508,8423,830,541
13652,78815,6215,830,541
52867,421039,7601,830,541
13718,79439,2899,262,541
13718,79439,6611,830,541
14039,339503,722,10,17
13619,112548,2648,156,541
13658,78827,6686,830,541
22578,339555,722,10,17
77959,428583,457,12,15
13739,112956,8480,830,541
13718,79442,2899,262,541
14159,362454,51421,830,541
13718,79439,44063,830,541
77959,390066,457,12,15
86427,429384,7055,830,541
23158,339751,5960,517,541
13826,272822,5960,517,541
15605,428533,722,10,17
14153,450859,8423,830,541
14336,422862,47586,830,541
13985,389625,5963,517,541
13829,454862,27476,1430,1380
13718,79439,7718,830,541
13829,421828,686,14,51
13754,79538,2899,262,541
24857,328765,818,28,61
13799,428289,27476,1430,1380
15605,339947,6278,830,541
13826,272822,7772,830,541
13421,77141,6203,830,541
13829,421823,2648,156,114
14504,407858,7862,830,541
13829,421819,5963,517,541
86427,429385,5960,517,541
14153,387855,7772,830,541
14159,362453,7772,830,541
14495,285391,818,28,61
13619,112545,44587,830,541
73023,354305,405,30,19
13952,339759,2899,262,211
17969,365985,51924,830,541
13904,428481,722,10,17
14456,433984,8423,830,541
14162,421043,2899,262,211
87583,438535,722,10,17
13421,77141,45821,517,541
13754,79538,27476,1430,541
13829,421818,5963,517,541
13982,428772,722,10,17
22886,339225,44063,830,541
13916,339528,8423,830,541
67436,415018,6458,830,541
15590,428508,722,10,17
14504,407857,45492,830,541
14159,362453,7682,830,541
15590,428508,30643,830,541
13829,422875,6458,830,541
13829,422879,6215,830,541
13829,454863,722,10,17
14153,387855,7010,830,541
13619,112545,6257,830,541
14258,341099,7928,830,541
52867,421037,7718,830,541
13955,428541,51832,5316,1010
13670,78860,7220,830,541
14453,433496,44587,830,541
13652,78815,6176,830,541
14153,387855,7655,830,541
13997,428912,457,12,15
13928,339734,49055,5021,4341
13928,339734,405,30,19
40338,428260,33310,830,541
13682,428250,457,12,15
13931,428458,457,12,15
13907,428501,457,12,15
52867,421038,6968,830,541
87475,438074,6953,830,541
13997,428912,6638,830,541
15569,428491,5960,517,541
14357,450865,5960,517,541
13952,428905,5960,517,541
13928,428464,8480,830,541
13931,339574,2899,262,211
13757,113127,5960,517,541
50545,303560,7751,830,541
70902,428568,8483,830,541
23158,428476,27476,1430,1380
13421,77141,7499,830,541
15659,428301,8420,830,541
13829,421819,44587,830,541
24857,328770,457,12,15
13670,78860,6257,830,541
57039,428560,457,12,15
13751,79529,44587,830,541
59337,415015,405,30,19
77997,442049,5960,517,541
13613,78725,44587,830,541
14159,362453,44063,830,541
13928,339734,7091,830,541
13739,112953,6686,830,541
81707,430139,457,12,15
13829,422869,5960,517,541
14159,362454,7934,830,541
50595,303549,7205,830,541
13652,78815,6824,830,541
22584,339941,6338,830,541
14159,362456,7220,830,541
14366,357066,6689,830,541
87798,439843,5960,517,541
13718,79439,51832,5316,541
15569,427017,5963,517,541
13829,454971,6257,830,541
13685,428255,9125,830,541
13670,90248,405,30,541
13829,422875,2899,262,211
13670,78860,53489,517,541
13781,79631,5960,517,541
13799,428290,8420,830,541
86198,428605,8984,830,541
13844,339516,722,10,17
14159,362453,7349,830,541
13982,341169,44063,830,541
13955,428545,5963,517,541
13832,428400,44587,830,541
14015,375135,722,10,17
13931,339573,6665,830,541
13613,78725,9029,830,541
84094,419194,7010,830,541
13652,78815,13203,1304,541
14486,451576,7862,830,541
13658,78827,44377,830,541
86427,429384,7205,830,541
14153,450862,7913,830,541
13658,78827,6179,830,541
50575,303500,7055,830,541
50601,303546,7655,830,541
13832,428403,8423,830,541
14159,383319,49060,0,541
13742,79508,6356,830,541
14159,362454,8702,830,541
13652,78815,8927,830,541
23158,428477,846,16,69
13658,78827,6215,830,541
13421,77141,7862,830,541
14159,362454,8420,830,541
13682,428250,27476,1430,1380
13613,78725,27476,1430,541
13928,339737,405,30,19
13991,341165,2899,262,211
14417,417226,7307,830,541
13916,339529,818,28,61
13685,428255,27476,1430,1380
13742,79508,53205,830,541
74762,428577,722,10,17
86427,429384,42279,830,541
52867,421037,7679,830,541
60609,415013,13465,1304,686
13832,339500,44063,830,541
15620,429875,8975,830,541
13829,454965,29465,830,541
13739,112956,2648,156,541
14153,387858,7793,830,541
13670,78860,48203,830,541
13796,428280,44587,830,541
13991,341164,2899,262,211
17969,428433,2899,262,211
13685,428258,41935,830,541
13631,78767,44587,830,541
13658,78827,7862,830,541
14039,429743,6278,830,541
22043,320164,7751,830,541
13613,78722,52072,830,541
13619,112545,6176,830,541
50595,303549,6875,830,541
14300,437731,44063,830,541
13832,339497,50293,5157,4406
85252,423760,7130,830,541
24857,328766,2648,156,114
13421,77141,7031,830,541
13613,78728,8984,830,541
86245,433465,51832,5316,1010
13742,79511,6686,830,541
13541,126889,5960,517,541
22886,339228,7169,830,541
17969,365988,457,12,15
74770,366842,8972,830,541
50575,303500,7307,830,541
13829,421819,8423,830,541
52565,454460,457,12,15
15566,339897,49055,5021,4341
14159,362453,7679,830,541
14153,387855,7601,830,541
13928,339734,7526,830,541
73023,354309,5960,517,541
71700,350902,5960,517,541
22578,428453,27476,1430,1380
14165,358173,7418,830,541
15569,427014,9125,830,541
13619,112548,6686,830,541
13829,422869,6203,830,541
13916,339531,6257,830,541
17606,303483,7172,830,541
13829,421836,6458,830,541
24857,328770,722,10,17
13754,79544,8423,830,541
14432,303565,11489,1218,1197
14159,362455,41247,830,541
13724,79469,722,10,541
13652,78815,5957,665,541
22886,339225,2899,262,211
13652,78815,50604,830,541
13796,428277,45492,830,541
77959,390067,457,12,15
13928,428466,722,10,17
14495,285388,51924,830,541
13652,90239,722,10,541
17609,303481,7862,830,541
15590,339912,722,10,17
13829,421818,405,30,19
13421,77141,6686,830,541
13613,78728,44587,830,541
74769,428954,457,12,15
13718,79442,8423,830,541
13829,421824,457,12,15
13829,422869,722,10,17
60608,442003,457,12,15
13928,339734,54096,830,541
13745,112959,457,12,541
13718,79445,457,12,541
13421,77141,8984,830,541
52867,421037,7406,830,541
13742,79508,6278,830,541
14159,362453,7655,830,541
52867,421037,5963,517,541
13832,339498,2899,262,211
13832,339497,5960,517,541
13928,428465,722,10,17
13670,78860,49503,830,541
87475,438073,6953,830,541
57039,428560,6110,830,541
13439,77174,6140,830,541
14159,362453,7307,830,541
15035,275938,2899,262,211
13829,421818,6215,830,541
13805,428901,5960,517,541
50601,303546,33504,830,541
26683,339521,722,10,17
23158,428479,457,12,15
52867,421037,7772,830,541
57039,428557,457,12,15
13805,339456,5960,517,541
13931,339576,722,10,17
13934,81002,30643,830,541
52867,421037,7934,830,541
13619,112548,5960,517,541
15653,340098,27476,1430,1380
13613,78725,8420,830,541
13949,428522,722,10,17
86198,428604,8984,830,541
13952,339759,27476,1430,1380
13829,421819,6215,830,541
61384,339245,2899,262,211
67435,415020,5957,665,674
13685,339234,5960,517,541
52867,421039,7220,830,541
23722,303511,7862,830,541
14456,362998,457,12,15
14417,438105,7655,830,541
13781,79631,49055,5021,541
61395,414992,5963,517,541
13796,428277,6140,830,541
13682,428253,44587,830,541
24924,303523,7655,830,541
13619,112551,2648,156,541
14456,362998,405,30,19
13928,339737,8423,830,541
13829,422879,722,10,17
70902,428569,5960,517,541
16040,389628,7187,830,541
13796,314401,2899,262,211
13421,77141,53205,830,541
13829,454863,5960,517,541
13907,243143,722,10,17
50601,303546,7805,830,541
14153,450860,51421,830,541
13829,421819,2648,156,114
22584,428527,33310,830,541
13829,422879,457,12,15
22584,428527,846,16,69
52867,421038,34188,830,541
13424,112593,6140,830,541
15569,427015,722,10,17
13670,78860,8927,830,541
13961,428552,722,10,17
13652,90239,405,30,541
15653,340101,722,10,17
13658,78827,2425,92,541
13619,112548,5963,517,541
13817,384498,7514,830,541
14165,358173,51421,830,541
14153,387856,7031,830,541
13832,339497,405,30,19
13829,421826,457,12,15
