Product Id - Prio,19,31,51,69,114,4341,1449,244,305,1010,1416,1001,1273,1275,1279,329,848,99,523,686,1197,15,17,61,211,674,1380,1271
61440,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,25,25,25,25,25,25,25
61395,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,25,25,25,25,25,25,25
67436,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,25,25,25,25,25,25,20
61426,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,25,25,25,25,25,25,25
59436,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,25,25,25,25,25,25,25
60608,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,25,25,25,25,25,25,25
59340,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,25,25,25,25,25,25,25
67435,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,25,25,25,25,25,25,20
67434,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,25,25,25,25,25,25,20
59337,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,25,25,25,25,25,25,25
60609,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,25,25,25,25,25,25,25
71712,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
71713,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23617,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
16040,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
13985,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
70027,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
