pos_ticket_id
77625189	85	35586	2
77625336	85	40376	2
77625299	85	42614	2
77625184	85	42756	2
77625185	85	42762	2
77625186	85	42764	2
77625187	85	42766	2
77625188	85	44052	2
77625190	85	44826	2
77625191	85	44836	2
77625192	85	45184	2
77625193	85	47279	2
77625194	85	47281	2
77625195	85	47867	2
77625251	85	48255	2
77625196	85	48319	2
77625197	85	48513	2
77625219	85	48519	2
77625198	85	48629	2
77625199	85	48975	2
77625200	85	48981	2
77625201	85	49027	2
83616288	85	49253	2
77625206	85	50337	2
77625202	85	50473	2
77625203	85	50475	2
77625204	85	51175	2
77625210	85	52995	2
77625205	85	53385	2
77625207	85	54225	2
77625208	85	54227	2
77625209	85	54689	2
77625211	85	55065	2
77625212	85	55067	2
77625213	85	55818	2
77625214	85	55980	2
77625215	85	55988	2
77625216	85	55989	2
77625217	85	56790	2
77625218	85	56794	2
77625220	85	57068	2
77625221	85	57489	2
77625222	85	57555	2
77625223	85	57742	2
77625224	85	57871	2
77625225	85	57934	2
77625226	85	57946	2
77625227	85	57977	2
77625228	85	57982	2
77625229	85	57986	2
77625230	85	57987	2
77625231	85	59290	2
77625232	85	59375	2
83616287	85	59413	2
77625233	85	59430	2
77625234	85	59432	2
77625235	85	59578	2
77625236	85	59663	2
77625237	85	59666	2
77625238	85	59695	2
77625239	85	59773	2
77625240	85	59775	2
77625241	85	59999	2
77625242	85	60001	2
77625243	85	60403	2
77625244	85	60408	2
77625245	85	60409	2
77625246	85	60410	2
77625252	85	60415	2
77625247	85	60519	2
77625248	85	60598	2
77625249	85	60605	2
77625250	85	60698	2
77625253	85	60724	2
77625254	85	60743	2
77625255	85	60757	2
77625258	85	60900	2
77625256	85	60909	2
77625257	85	60910	2
77625260	85	61058	2
77625261	85	61122	2
77625262	85	61124	2
77625263	85	61202	2
77625264	85	61211	2
77625265	85	61220	2
77625266	85	61467	2
77625267	85	61473	2
77625268	85	61548	2
77625269	85	61590	2
77625270	85	61592	2
77625271	85	61599	2
77625272	85	61601	2
77625273	85	61634	2
77625275	85	61672	2
77625276	85	61676	2
77625277	85	61704	2
77625278	85	61706	2
77625279	85	61708	2
77625280	85	61709	2
77625281	85	61719	2
77625282	85	61747	2
77625283	85	61917	2
77625286	85	61921	2
77625285	85	61922	2
77625284	85	62192	2
77625287	85	62289	2
77625288	85	62320	2
77625289	85	62417	2
77625290	85	62418	2
77625291	85	62462	2
77625293	85	62463	2
77625294	85	62478	2
77625295	85	62503	2
77625296	85	62504	2
77625297	85	62505	2
77625319	85	62670	2
77625298	85	62726	2
77625300	85	62893	2
77625301	85	62894	2
77625303	85	62928	2
77625304	85	62929	2
77625305	85	62995	2
77625306	85	62996	2
77625312	85	63066	2
77625313	85	63090	2
77625307	85	63154	2
77625308	85	63155	2
77625309	85	63172	2
77625310	85	63177	2
77625311	85	63179	2
77625320	85	63226	2
77625314	85	63264	2
77625315	85	63299	2
77625316	85	63302	2
77625317	85	63303	2
77625318	85	63304	2
77625321	85	63521	2
77625322	85	63600	2
77625343	85	63665	2
77625342	85	63673	2
77625323	85	63703	2
77625324	85	63705	2
77625332	85	63709	2
77625325	85	63743	2
77625326	85	63782	2
77625327	85	63820	2
77625328	85	64008	2
77625329	85	64043	2
77625330	85	64044	2
77625331	85	64117	2
77625333	85	64147	2
77625334	85	64148	2
77625335	85	64312	2
77625337	85	64332	2
77625338	85	64447	2
77625339	85	64475	2
77625340	85	64546	2
77625341	85	64635	2
77625344	85	64713	2
77625345	85	64723	2
77625346	85	64728	2
77625347	85	64785	2
77625348	85	64786	2
77625349	85	64789	2
77625350	85	64839	2
77625351	85	64883	2
77625352	85	65149	2
77625353	85	65279	2
77625354	85	65328	2
77625367	85	65372	2
77625355	85	65382	2
77625356	85	65424	2
77625357	85	65427	2
77625359	85	65433	2
77625358	85	65434	2
77625360	85	65438	2
77625361	85	65440	2
77625362	85	65441	2
77625363	85	65442	2
77625364	85	65444	2
77625365	85	65460	2
77625366	85	65461	2
77625368	85	65567	2
77625369	85	65576	2
77625370	85	65584	2
77625372	85	65650	2
77625373	85	65653	2
77625374	85	65655	2
77625375	85	65656	2
77625376	85	65657	2
77625377	85	65671	2
77625378	85	65846	2
77625379	85	65847	2
77625380	85	65848	2
77625381	85	65915	2
77625382	85	65916	2
77625383	85	65948	2
77625384	85	65950	2
77625386	85	66012	2
77625387	85	66013	2
