vt_group_no,transaction_id,hotel_id,ticket_id,ticketpriceschedule_id,channel_id,reseller_id,sale_price,Distributor_price,commission
173563956358195,173563956358195009R,722,26683,339521,10,17,45,11.25,25
173598185854663,173598185854663002R,53911,13829,421819,830,541,105,21,20
173598224059582,173598224059582001R,818,23722,303511,28,61,35,5.25,15
173608285117134,173608285117134003R,457,13829,421820,12,15,45,11.25,25
173625219493316,173625219493316002R,7100,14417,438105,830,541,27,2.7,10
173637103346396,173637103346396003R,44063,50601,303546,830,541,51,5.1,10
173689322816097,173689322816097001R,44587,15566,428486,830,541,129,32.25,25
173585830240162,173585830240162002R,457,59436,284478,12,15,55,13.75,25
173601514842151,173601514842151017R,722,70893,351001,10,17,95,28.5,30
173563179504450,173563179504450019R,33310,40338,428260,830,541,129,32.25,25
173676300935420,173676300935420002R,7913,50601,303546,830,541,51,5.1,10
173681644970921,173681644970921001R,457,13955,339952,12,15,159,47.7,30
173581297587103,173581297587103002R,818,25229,306805,28,61,37,3.7,10
173581805711068,173581805711068005R,8423,14153,450860,830,541,16.5,0.83,5.03
173653149517774,173653149517774004R,722,13829,454965,10,17,140,105,75
173693914728987,173693914728987037R,5717,15599,339927,830,541,110,27.5,25
173134948686378,173134948686378003R,5957,13829,421818,665,674,115,23,20
173594734344321,173594734344321002R,44587,25039,404990,830,541,68,20.4,30
173546365412250,173546365412250006R,7130,50595,303550,830,541,38,5.7,15
173574945524104,173574945524104001R,722,13892,428468,10,17,109,32.7,30
173585105621367,173585105621367002R,38814,14228,442335,830,541,26.1,0.6,2.3
173599453368236,173599453368236001R,7751,22043,320164,830,541,59,5.9,10
173641888159263,173641888159263001R,51854,14159,362453,830,541,34.8,6.96,20
173643570229547,173643570229547002R,8975,14027,429807,830,541,165,41.25,25
172964198936599,172964198936599010R,457,22886,339228,12,15,122,36.6,30
173601050916119,173601050916119004R,722,13928,339735,10,17,145,43.5,30
173675826192481,173675826192481004R,722,13829,422876,10,17,110,27.5,25
173556130738974,173556130738974003R,6686,23158,428476,830,541,69,17.25,25
173668512659317,173668512659317002R,405,59337,415015,30,19,125,25,20
173306560473437,173306560473437006R,2899,86245,433465,262,211,45,13.5,30
173617090736248,173617090736248002R,6686,15566,428486,830,541,129,32.25,25
171880631850714,171880631850714010R,722,13829,328810,10,17,119,29.75,25
173654505183098,173654505183098001R,405,14162,421044,30,19,27,2.7,10
173678775609145,173678775609145003R,2648,13829,421823,156,114,115,13.55,11.78
173581927558880,173581927558880014R,8423,14153,450862,830,541,29.7,1.49,5.02
173617979226786,173617979226786001R,457,13982,341169,12,15,199,39.8,20
173684908158091,173684908158091001R,7100,17618,303487,830,541,57,5.7,10
173312951689397,173312951689397001R,7130,50601,303546,830,541,51,7.65,15
173598319568690,173598319568690001R,457,14453,433496,12,15,82.5,20.63,25.01
173641174896964,173641174896964002R,8480,13799,428289,830,541,129,32.25,25
173643733998723,173643733998723001R,8423,22578,339549,830,541,99,27.72,28
172793271046697,172793271046697004R,722,13832,339497,10,17,30,7.5,25
172265098988101,172265098988101022R,44587,13805,339456,830,541,39,9.75,25
173693178406652,173693178406652004R,5957,14495,285389,665,674,20,4.2,21
173697483395669,173697483395669001R,457,13829,454863,12,15,95,71.25,75
173164163079597,173164163079597026R,722,23158,339754,10,17,72,21.6,30
172908809021728,172908809021728002R,722,13928,339737,10,17,150,45,30
173594802868843,173594802868843003R,457,13829,421820,12,15,45,11.25,25
173625659317592,173625659317592001R,49689,16040,389628,830,541,30,6,20
173682118837117,173682118837117001R,846,61384,428275,16,69,124,31,25
172752798054141,172752798054141003R,6458,67436,415018,830,541,229,52.67,23
173633826149426,173633826149426001R,7028,14258,437784,830,541,31,3.1,10
173539589402408,173539589402408001R,457,22584,339944,12,15,96,28.8,30
173542294189004,173542294189004002R,2899,13832,339497,262,211,30,7.5,25
173617096671062,173617096671062002R,7718,22886,339225,830,541,125,35,28
173589782733371,173589782733371002R,6809,14228,442320,830,541,30,4.5,15
173575747004001,173575747004001005R,1790,14159,362454,140,99,17.4,3.48,20
173451559585586,173451559585586002R,13203,13829,421823,1304,686,130,20.8,16
173585885625708,173585885625708001R,5957,13829,421819,665,674,105,21,20
172657997245691,172657997245691001R,818,77619,388218,28,61,49,8.82,18
173133126307661,173133126307661004R,11489,13844,339515,1218,1197,29,6.67,23
173559811490009,173559811490009014R,722,13892,428468,10,17,109,32.7,30
173609118407856,173609118407856002R,722,13955,339952,10,17,159,47.7,30
173443367145191,173443367145191022R,722,22578,339551,10,17,89,26.7,30
173671881252491,173671881252491002R,722,15569,428494,10,17,94,28.2,30
173676427892731,173676427892731001R,8756,67436,415018,830,541,229,45.8,20
173199477481964,173199477481964038R,722,13955,339953,10,17,149,44.7,30
173610300253026,173610300253026001R,5957,13829,421818,665,674,115,23,20
173693524520743,173693524520743001R,49055,13997,341177,5021,4341,285,57,20
172908809021728,172908809021728059R,722,13928,339737,10,17,150,45,30
173199477481964,173199477481964002R,722,13955,339953,10,17,149,44.7,30
173686349700760,173686349700760015R,27476,13829,454971,1430,1380,115,86.25,75
173592114504470,173592114504470004R,7073,52867,421038,830,541,13,1.3,10
173239976615802,173239976615802005R,9029,13916,339528,830,541,69,17.25,25
173584374128630,173584374128630004R,6968,52867,421038,830,541,13,1.3,10
173639529923699,173639529923699001R,722,13961,339964,10,17,159,47.7,30
173662243653683,173662243653683002R,27476,13829,454965,1430,1380,140,105,75
173688645681310,173688645681310003R,44063,50601,303547,830,541,47.5,7.13,15.01
173589736869413,173589736869413001R,722,25362,433492,10,17,102,22.44,22
173594107789466,173594107789466006R,818,14165,358174,28,61,10,2.5,25
173670101549769,173670101549769001R,457,15569,428494,12,15,94,28.2,30
173672392593446,173672392593446004R,722,15599,428518,10,17,109,32.7,30
172892403668943,172892403668943025R,9125,13685,339231,830,541,59,14.75,25
173599099827241,173599099827241002R,457,59436,284478,12,15,55,13.75,25
173692097916018,173692097916018004R,2648,13829,421828,156,114,95,16.45,17.32
173581871375748,173581871375748005R,8423,14153,450862,830,541,29.7,1.49,5.02
173648864974239,173648864974239001R,44587,13832,428400,830,541,30,7.5,25
172994932463952,172994932463952001R,722,15659,339277,10,17,150,45,30
173584417338999,173584417338999003R,6968,14165,358174,830,541,10,2,20
173670941604482,173670941604482003R,722,57039,428560,10,17,194,58.2,30
173695564168521,173695564168521003R,457,13949,428522,12,15,79,23.7,30
173646566036417,173646566036417001R,722,13904,428484,10,17,96,28.8,30
173654543577848,173654543577848001R,7418,13817,384498,830,541,48,12,25
173013099930643,173013099930643001R,6386,13796,314401,830,541,110,27.5,25
173582887936096,173582887936096001R,6809,14231,366787,830,541,14,1.8,12.86
173696080947270,173696080947270003R,8423,15566,428486,830,541,129,36.12,28
173530092962574,173530092962574003R,5957,14453,433496,665,674,82.5,20.63,25.01
173573730076423,173573730076423002R,6929,50601,303546,830,541,51,5.1,10
173673158394242,173673158394242001R,44587,13829,454965,830,541,140,35,25
173563956358195,173563956358195010R,722,26683,339521,10,17,45,11.25,25
