vt_group_no,transaction_id,hotel_id,hotel_name,reseller_id,reseller_name,ticket_id,ticketpriceschedule_id,version,order_confirm_date,saleprice,purchaseprice,merchantcommission,distributorcommission,hgscommission,salepriceshouldbe,museumfeeshouldbe,merchantfeeshouldbe,hotelfeeshouldbe,hgsfeeshouldbe,modifiedshouldbe,pricinglevel
173724621210619,173724621210619003R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,15599,339927,1,2025-01-19 00:35:19,110,0,0,0,110,110,110,0,0,0,2025-01-15 10:16:22,clcsetting
173724621210619,173724621210619004R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,15599,339927,1,2025-01-19 00:35:19,110,0,0,0,110,110,110,0,0,0,2025-01-15 10:16:22,clcsetting
173729546541825,173729546541825001R,818,Headout,61,Headout,14165,457665,1,2025-01-19 14:04:26,23.5,17.62,0,5.88,0,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173728120575731,173728120575731002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,454862,1,2025-01-19 10:20:53,105,0,0,0,65.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731531209139,173731531209139001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,454862,1,2025-01-19 19:48:43,105,0,0,0,65.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731930610368,173731930610368001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,454862,1,2025-01-19 20:51:25,105,0,0,0,65.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173728120575731,173728120575731001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,454862,1,2025-01-19 10:20:53,105,0,0,0,65.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731531209139,173731531209139002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,454862,1,2025-01-19 19:48:43,105,0,0,0,65.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731930610368,173731930610368002R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,454863,1,2025-01-19 20:51:25,95,0,0,0,55.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731930610368,173731930610368003R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13829,454863,1,2025-01-19 20:51:25,95,0,0,0,55.3,111,111,111,111,111,2022-02-22 22:22:22,Nosetting
173731710140588,173731710140588004R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13832,339500,1,2025-01-19 20:08:30,27,0,0,0,27,27,24.7,0,0,0,2024-11-19 05:40:00,clcsetting
173731710140588,173731710140588001R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13832,339500,1,2025-01-19 20:08:30,27,0,0,0,27,27,24.7,0,0,0,2024-11-19 05:40:00,clcsetting
173731710140588,173731710140588003R,5960,Evan Evans Tours Ltd CMS ,541,Evan Evans,13832,339500,1,2025-01-19 20:08:30,27,0,0,0,27,27,24.7,0,0,0,2024-11-19 05:40:00,clcsetting
