ticket_id,reseller_id,commission
88508,686,15.00
88527,686,15.00
88528,686,15.00
88529,686,15.00
88530,686,15.00
88534,686,15.00
88535,686,15.00
88537,686,15.00
88539,686,15.00
88540,686,15.00
88542,686,15.00
88544,686,15.00
88545,686,15.00
88546,686,15.00
88547,686,15.00
88548,686,15.00
88550,686,15.00
88551,686,15.00
88553,686,15.00
88554,686,15.00
88555,686,15.00
88557,686,15.00
88559,686,15.00
88560,686,15.00
88561,686,15.00
88562,686,15.00
88563,686,15.00
88564,686,15.00
88565,686,15.00
88567,686,15.00
88568,686,15.00
88569,686,15.00
88571,686,15.00
88573,686,15.00
88575,686,15.00
88576,686,15.00
88577,686,15.00
88578,686,15.00
88580,686,15.00
88581,686,15.00
88583,686,15.00
88585,686,15.00
88586,686,15.00
88588,686,15.00
88590,686,15.00
88591,686,15.00
88592,686,15.00
88593,686,15.00
88594,686,15.00
88595,686,15.00
88597,686,15.00
88600,686,15.00
88602,686,15.00
88621,686,15.00
88622,686,15.00
88623,686,15.00
88624,686,15.00
88625,686,15.00
88626,686,15.00
88627,686,15.00
88630,686,15.00
88632,686,15.00
88637,686,15.00
88639,686,15.00
88641,686,15.00
88643,686,15.00
88646,686,15.00
88648,686,15.00
88650,686,15.00
88651,686,15.00
88653,686,15.00
88654,686,15.00
88656,686,15.00
88658,686,15.00
88660,686,15.00
88662,686,15.00
88663,686,15.00
88664,686,15.00
88665,686,15.00
88666,686,15.00
88667,686,15.00
88668,686,15.00
88669,686,15.00
88670,686,15.00
88671,686,15.00
88673,686,15.00
88675,686,15.00
88677,686,15.00
88678,686,15.00
88679,686,15.00
88680,686,15.00
88681,686,15.00
88682,686,15.00
88683,686,15.00
88684,686,15.00
88685,686,15.00
88686,686,15.00
88691,686,15.00
88694,686,15.00
88696,686,15.00
88697,686,15.00
88699,686,15.00
88700,686,15.00
88701,686,15.00
88702,686,15.00
88704,686,15.00
88706,686,15.00
88708,686,15.00
88710,686,15.00
88712,686,15.00
88713,686,15.00
88714,686,15.00
88715,686,15.00
88717,686,15.00
88719,686,15.00
88721,686,15.00
88723,686,15.00
88724,686,15.00
88726,686,15.00
88728,686,15.00
88729,686,15.00
88731,686,15.00
88732,686,15.00
88734,686,15.00
88736,686,15.00
88737,686,15.00
88738,686,15.00
88740,686,15.00
88742,686,15.00
88744,686,15.00
88746,686,15.00
88748,686,15.00
88749,686,15.00
88751,686,15.00
88753,686,15.00
88757,686,15.00
88759,686,15.00
88761,686,15.00
88763,686,15.00
88766,686,15.00
88768,686,15.00
88770,686,15.00
88771,686,15.00
88773,686,15.00
88775,686,15.00
88777,686,15.00
88779,686,15.00
88781,686,15.00
88783,686,15.00
88785,686,15.00
88787,686,15.00
88788,686,15.00
88790,686,15.00
88791,686,15.00
88793,686,15.00
88795,686,15.00
88797,686,15.00
88799,686,15.00
88801,686,15.00
88803,686,15.00
88805,686,15.00
88807,686,15.00
88809,686,15.00
88810,686,15.00
88812,686,15.00
88814,686,15.00
88818,686,15.00
88819,686,15.00
88820,686,15.00
88821,686,15.00
88822,686,15.00
88823,686,15.00
88824,686,15.00
88825,686,15.00
88826,686,15.00
88827,686,15.00
88828,686,15.00
88829,686,15.00
88831,686,15.00
88833,686,15.00
88834,686,15.00
88836,686,15.00
88837,686,15.00
88840,686,15.00
88841,686,15.00
88842,686,15.00
88843,686,15.00
88845,686,15.00
88847,686,15.00
88849,686,15.00
88851,686,15.00
88854,686,15.00
88857,686,15.00
88859,686,15.00
88860,686,15.00
88861,686,15.00
88862,686,15.00
88865,686,15.00
88867,686,15.00
88869,686,15.00
88871,686,15.00
88873,686,15.00
88875,686,15.00
88877,686,15.00
88879,686,15.00
88881,686,15.00
88882,686,15.00
88883,686,15.00
88885,686,15.00
88886,686,15.00
88887,686,15.00
88888,686,15.00
88890,686,15.00
88892,686,15.00
88894,686,15.00
88896,686,15.00
88898,686,15.00
88900,686,15.00
88901,686,15.00
88902,686,15.00
88903,686,15.00
88904,686,15.00
88906,686,15.00
88907,686,15.00
88909,686,15.00
88911,686,15.00
88912,686,15.00
88913,686,15.00
88914,686,15.00
88916,686,15.00
88917,686,15.00
88919,686,15.00
88921,686,15.00
88922,686,15.00
88924,686,15.00
88926,686,15.00
88928,686,15.00
88930,686,15.00
88931,686,15.00
88932,686,15.00
88933,686,15.00
88942,686,15.00
88943,686,15.00
88945,686,15.00
88947,686,15.00
88948,686,15.00
88949,686,15.00
88950,686,15.00
88952,686,15.00
88953,686,15.00
88955,686,15.00
88957,686,15.00
88958,686,15.00
88960,686,15.00
88962,686,15.00
88963,686,15.00
88965,686,15.00
88966,686,15.00
88967,686,15.00
88969,686,15.00
88971,686,15.00
88974,686,15.00
88976,686,15.00
88977,686,15.00
88978,686,15.00
88979,686,15.00
88980,686,15.00
88982,686,15.00
88984,686,15.00
88986,686,15.00
88988,686,15.00
88990,686,15.00
88991,686,15.00
88993,686,15.00
88995,686,15.00
88997,686,15.00
88999,686,15.00
89001,686,15.00
89003,686,15.00
89005,686,15.00
89008,686,15.00
89010,686,15.00
89012,686,15.00
89014,686,15.00
89015,686,15.00
89017,686,15.00
89019,686,15.00
89021,686,15.00
89023,686,15.00
89026,686,15.00
89027,686,15.00
89028,686,15.00
89030,686,15.00
89032,686,15.00
89033,686,15.00
89037,686,15.00
89040,686,15.00
89042,686,15.00
89044,686,15.00
89046,686,15.00
89048,686,15.00
89049,686,15.00
89050,686,15.00
89051,686,15.00
89052,686,15.00
89053,686,15.00
89054,686,15.00
89055,686,15.00
89056,686,15.00
89057,686,15.00
89058,686,15.00
89059,686,15.00
89060,686,15.00
89061,686,15.00
89062,686,15.00
89063,686,15.00
89064,686,15.00
89065,686,15.00
89066,686,15.00
89068,686,15.00
89070,686,15.00
89072,686,15.00
89073,686,15.00
89074,686,15.00
