ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88527	686	15.00	680	2025-12-30	443869	EUR	NULL	NULL	NULL
88527	686	15.00	680	2025-12-30	443870	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88528	686	15.00	680	2025-12-30	443874	EUR	NULL	NULL	NULL
88528	686	15.00	680	2025-12-30	443875	EUR	NULL	NULL	NULL
88528	686	15.00	680	2025-12-30	443876	EUR	NULL	NULL	NULL
88528	686	15.00	680	2025-12-30	443877	EUR	NULL	NULL	NULL
88528	686	15.00	680	2025-12-30	443878	EUR	NULL	NULL	NULL
88528	686	15.00	680	2025-12-30	443879	EUR	NULL	NULL	NULL
88528	686	15.00	680	2025-12-30	443880	EUR	NULL	NULL	NULL
88528	686	15.00	680	2025-12-30	443881	EUR	NULL	NULL	NULL
88528	686	15.00	680	2025-12-30	443882	EUR	NULL	NULL	NULL
88528	686	15.00	680	2025-12-30	443883	EUR	NULL	NULL	NULL
88528	686	15.00	680	2025-12-30	443884	EUR	NULL	NULL	NULL
88528	686	15.00	680	2025-12-30	443885	EUR	NULL	NULL	NULL
88528	686	15.00	680	2025-12-30	443886	EUR	NULL	NULL	NULL
88528	686	15.00	680	2025-12-30	443887	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88529	686	15.00	680	2025-12-30	443888	EUR	NULL	NULL	NULL
88529	686	15.00	680	2025-12-30	443889	EUR	NULL	NULL	NULL
88529	686	15.00	680	2025-12-30	443890	EUR	NULL	NULL	NULL
88529	686	15.00	680	2025-12-30	443891	EUR	NULL	NULL	NULL
88529	686	15.00	680	2025-12-30	443892	EUR	NULL	NULL	NULL
88529	686	15.00	680	2025-12-30	443893	EUR	NULL	NULL	NULL
88529	686	15.00	680	2025-12-30	443894	EUR	NULL	NULL	NULL
88529	686	15.00	680	2025-12-30	443899	EUR	NULL	NULL	NULL
88529	686	15.00	680	2025-12-30	443900	EUR	NULL	NULL	NULL
88529	686	15.00	680	2025-12-30	443901	EUR	NULL	NULL	NULL
88529	686	15.00	680	2025-12-30	443895	EUR	NULL	NULL	NULL
88529	686	15.00	680	2025-12-30	443896	EUR	NULL	NULL	NULL
88529	686	15.00	680	2025-12-30	443897	EUR	NULL	NULL	NULL
88529	686	15.00	680	2025-12-30	443898	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88530	686	15.00	680	2025-12-30	443902	EUR	NULL	NULL	NULL
88530	686	15.00	680	2025-12-30	443903	EUR	NULL	NULL	NULL
88530	686	15.00	680	2025-12-30	443904	EUR	NULL	NULL	NULL
88530	686	15.00	680	2025-12-30	443905	EUR	NULL	NULL	NULL
88530	686	15.00	680	2025-12-30	443906	EUR	NULL	NULL	NULL
88530	686	15.00	680	2025-12-30	443907	EUR	NULL	NULL	NULL
88530	686	15.00	680	2025-12-30	443908	EUR	NULL	NULL	NULL
88530	686	15.00	680	2025-12-30	443909	EUR	NULL	NULL	NULL
88530	686	15.00	680	2025-12-30	443910	EUR	NULL	NULL	NULL
88530	686	15.00	680	2025-12-30	443911	EUR	NULL	NULL	NULL
88530	686	15.00	680	2025-12-30	443912	EUR	NULL	NULL	NULL
88530	686	15.00	680	2025-12-30	443913	EUR	NULL	NULL	NULL
88530	686	15.00	680	2025-12-30	443914	EUR	NULL	NULL	NULL
88530	686	15.00	680	2025-12-30	443915	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88537	686	15.00	680	2025-12-30	443935	USD	NULL	NULL	NULL
88537	686	15.00	680	2025-12-30	443936	USD	NULL	NULL	NULL
88537	686	15.00	680	2025-12-30	443937	USD	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88539	686	15.00	680	2025-10-26	443941	EUR	NULL	NULL	NULL
88539	686	15.00	680	2025-10-26	443942	EUR	NULL	NULL	NULL
88539	686	15.00	680	2025-10-26	443943	EUR	NULL	NULL	NULL
88539	686	15.00	680	2025-10-26	443944	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88540	686	15.00	680	2025-10-26	443945	EUR	NULL	NULL	NULL
88540	686	15.00	680	2025-10-26	443946	EUR	NULL	NULL	NULL
88540	686	15.00	680	2025-10-26	443947	EUR	NULL	NULL	NULL
88540	686	15.00	680	2025-10-26	443948	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88542	686	15.00	680	2025-12-30	443955	EUR	NULL	NULL	NULL
88542	686	15.00	680	2025-12-30	443956	EUR	NULL	NULL	NULL
88542	686	15.00	680	2025-12-30	443957	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88544	686	15.00	680	2025-12-30	443961	EUR	NULL	NULL	NULL
88544	686	15.00	680	2025-12-30	443962	EUR	NULL	NULL	NULL
88544	686	15.00	680	2025-12-30	443963	EUR	NULL	NULL	NULL
88544	686	15.00	680	2025-12-30	443964	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88545	686	15.00	680	2025-12-30	443965	EUR	NULL	NULL	NULL
88545	686	15.00	680	2025-12-30	443966	EUR	NULL	NULL	NULL
88545	686	15.00	680	2025-12-30	443967	EUR	NULL	NULL	NULL
88545	686	15.00	680	2025-12-30	443968	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88546	686	15.00	680	2025-12-30	443969	EUR	NULL	NULL	NULL
88546	686	15.00	680	2025-12-30	443970	EUR	NULL	NULL	NULL
88546	686	15.00	680	2025-12-30	443971	EUR	NULL	NULL	NULL
88546	686	15.00	680	2025-12-30	443972	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88547	686	15.00	680	2025-12-30	443973	EUR	NULL	NULL	NULL
88547	686	15.00	680	2025-12-30	443974	EUR	NULL	NULL	NULL
88547	686	15.00	680	2025-12-30	443975	EUR	NULL	NULL	NULL
88547	686	15.00	680	2025-12-30	443976	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88548	686	15.00	680	2025-12-30	443977	EUR	NULL	NULL	NULL
88548	686	15.00	680	2025-12-30	443978	EUR	NULL	NULL	NULL
88548	686	15.00	680	2025-12-30	443979	EUR	NULL	NULL	NULL
88548	686	15.00	680	2025-12-30	443980	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88550	686	15.00	680	2025-12-30	443985	EUR	NULL	NULL	NULL
88550	686	15.00	680	2025-12-30	443986	EUR	NULL	NULL	NULL
88550	686	15.00	680	2025-12-30	443987	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88551	686	15.00	680	2025-12-30	443988	EUR	NULL	NULL	NULL
88551	686	15.00	680	2025-12-30	443989	EUR	NULL	NULL	NULL
88551	686	15.00	680	2025-12-30	443990	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88553	686	15.00	680	2025-12-30	443996	EUR	NULL	NULL	NULL
88553	686	15.00	680	2025-12-30	443997	EUR	NULL	NULL	NULL
88553	686	15.00	680	2025-12-30	443998	EUR	NULL	NULL	NULL
88553	686	15.00	680	2025-12-30	443999	EUR	NULL	NULL	NULL
88553	686	15.00	680	2025-12-30	444000	EUR	NULL	NULL	NULL
88553	686	15.00	680	2025-12-30	444001	EUR	NULL	NULL	NULL
88553	686	15.00	680	2025-12-30	444002	EUR	NULL	NULL	NULL
88553	686	15.00	680	2025-12-30	444007	EUR	NULL	NULL	NULL
88553	686	15.00	680	2025-12-30	444008	EUR	NULL	NULL	NULL
88553	686	15.00	680	2025-12-30	444009	EUR	NULL	NULL	NULL
88553	686	15.00	680	2025-12-30	444003	EUR	NULL	NULL	NULL
88553	686	15.00	680	2025-12-30	444004	EUR	NULL	NULL	NULL
88553	686	15.00	680	2025-12-30	444005	EUR	NULL	NULL	NULL
88553	686	15.00	680	2025-12-30	444006	EUR	NULL	NULL	NULL
ticket_id	reseller_id	resalecommission	channel_id	mec_end_date	tps_id	currency_code	clcproduct_id	ticketpriceschedule_id	resale_currency_level
88554	686	15.00	680	2025-12-30	444010	EUR	NULL	NULL	NULL
