pt_order_id,vt_order_id,pt_transactionId,vt_transactionId,pt_version,vt_version,ptticketId,vt_ticketId,pt_tpsId,vt_tpsId,pt_actionPerformed,vt_actionPeformed,pt_used,vt_used,pt_redeemDate,vt_redeemDate,pt_refunded,vt_refunded,status
171906445402162,171906445402162,171906445402162002R,171906445402162002R,2.1,2.1,70559,70559,402073,402073,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-06-22 16:55:12,2024-06-22 13:54:14,0,0,0
172734168931997,172734168931997,172734168931997002R,172734168931997002R,2,2,46443,46443,401175,401175,"0, CSS_ACT","0, CSS_ACT",1,1,2024-09-26 12:09:01,2024-09-26 09:08:09,0,0,0
171629706046163,171629706046163,171629706046163001R,171629706046163001R,3,3,2614,2614,355654,355654,"0, CSS_ACT, CSSCommission","0, CSS_ACT, CSSCommission",1,1,2024-05-21 16:11:25,2024-05-21 13:11:00,0,0,0
171680533566732,171680533566732,171680533566732001R,171680533566732001R,1.1,1,35021,35021,184431,184431,"0, SCAN_TB",0,1,1,2024-05-27 10:22:15,2024-05-27 10:22:15,0,0,0
173857478025825,173857478025825,173857478025825002R,173857478025825002R,1,1,61292,61292,307390,307390,0,0,1,1,1970-01-01 00:00:01,2025-02-03 09:26:25,0,0,0
172159745613346,172159745613346,172159745613346001R,172159745613346001R,3.3,3.2,68835,68835,365132,365132,"0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-07-22 11:43:57,2024-07-21 21:31:02,0,0,0
173853619148813,173853619148813,173853619148813001R,173853619148813001R,1.2,1.1,3247,3247,418331,418331,"0, SCAN_TB","0, SCAN_TB",1,1,2025-02-03 09:27:19,2025-02-02 22:44:49,0,0,0
173857415599432,173857415599432,173857415599432002R,173857415599432002R,1.1,1.1,22788,22788,123511,123511,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:16:43,0,0,0
171058269913418,171058269913418,171058269913418001R,171058269913418001R,2.3,2.3,70559,70559,367683,367683,"0, CSS_ACT, SCAN_TB, SCAN_TB, SCAN_TB","0, CSS_ACT, SCAN_TB, SCAN_TB, SCAN_TB",1,1,2024-03-16 12:52:00,2024-03-16 09:51:39,0,0,0
171507602271658,171507602271658,171507602271658002R,171507602271658002R,1.1,1,61301,61301,307856,307856,"0, SCAN_TB",0,1,1,2024-05-07 10:00:22,2024-05-07 10:00:22,0,0,0
172027736871883,172027736871883,172027736871883001R,172027736871883001R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-07-14 09:22:56,2024-07-06 14:50:56,0,0,0
172302325110438,172302325110438,172302325110438001R,172302325110438001R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-10-21 10:30:26,2024-08-07 09:37:22,0,0,0
172336175821145,172336175821145,172336175821145005R,172336175821145005R,2.1,2.1,2618,2618,351053,351053,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-08-11 10:37:05,2024-08-11 07:36:59,0,0,0
173857439944838,173857439944838,173857439944838002R,173857439944838002R,1,1,61292,61292,307390,307390,0,0,1,1,1970-01-01 00:00:01,2025-02-03 09:20:11,0,0,0
173857456392518,173857456392518,173857456392518001R,173857456392518001R,1.1,1.1,61292,61292,307390,307390,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:22:48,0,0,0
172640562560120,172640562560120,172640562560120004R,172640562560120004R,2,2,18729,18729,401167,401167,"0, CSS_ACT","0, CSS_ACT",1,1,2024-09-15 16:07:59,2024-09-15 13:07:05,0,0,0
173857357827835,173857357827835,173857357827835002R,173857357827835002R,1.1,1.1,35021,35021,184431,184431,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:06:22,0,0,0
171629706046163,171629706046163,171629706046163002R,171629706046163002R,3.1,3.1,2614,2614,355654,355654,"0, CSS_ACT, SCAN_TB, CSSCommission","0, CSS_ACT, SCAN_TB, CSSCommission",1,1,2024-05-21 16:11:25,2024-05-21 13:11:00,0,0,0
171508210192046,171508210192046,171508210192046002R,171508210192046002R,1.1,1,21462,21462,307909,307909,"0, SCAN_TB",0,1,1,2024-05-07 11:41:41,2024-05-07 11:41:41,0,0,0
172254114813317,172254114813317,172254114813317001R,172254114813317001R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-09-19 14:44:47,2024-08-01 19:39:30,0,0,0
171507097265918,171507097265918,171507097265918001R,171507097265918001R,1.1,1,21462,21462,307909,307909,"0, SCAN_TB",0,1,1,2024-05-07 08:36:12,2024-05-07 08:36:12,0,0,0
170047424767880,170047424767880,1700474247678807041R,1700474247678807041R,3,2,58635,58635,282320,282320,"SCAN_PRE_CSS, SCAN_TB, OAPI35_RFN, OAPI37_RFN","SCAN_PRE_CSS, SCAN_TB, OAPI35_RFN",1,1,2024-02-15 09:57:53,2024-02-15 09:58:50,1,1,0
173849453288814,173849453288814,173849453288814001R,173849453288814001R,1.2,1.1,46381,46381,307534,307534,"0, SCAN_TB","0, SCAN_TB",1,1,2025-02-03 09:21:31,2025-02-02 11:08:52,0,0,0
172734168931997,172734168931997,172734168931997004R,172734168931997004R,2,2,46443,46443,401175,401175,"0, CSS_ACT","0, CSS_ACT",1,1,2024-09-26 12:09:01,2024-09-26 09:08:09,0,0,0
171680133896969,171680133896969,171680133896969001R,171680133896969001R,1.1,1,46381,46381,307534,307534,"0, SCAN_TB",0,1,1,2024-05-27 09:15:39,2024-05-27 09:15:39,0,0,0
171912855147217,171912855147217,171912855147217005R,171912855147217005R,3.1,3.1,3273,3273,410414,410414,"0, CSS_ACT, SCAN_TB, CSSCommission","0, CSS_ACT, SCAN_TB, CSSCommission",1,1,2024-06-23 10:46:23,2024-06-23 07:45:39,0,0,0
171877335303919,171877335303919,171877335303919001R,171877335303919001R,2.1,2.1,35367,35367,351118,351118,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-06-19 08:03:00,2024-06-19 05:02:33,0,0,0
172302325110438,172302325110438,172302325110438004R,172302325110438004R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-10-21 10:30:26,2024-08-07 09:37:22,0,0,0
172273503169461,172273503169461,172273503169461002R,172273503169461002R,3.3,3.2,68835,68835,365132,365132,"0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-08-30 08:25:12,2024-08-04 01:30:38,0,0,0
172302291124807,172302291124807,172302291124807001R,172302291124807001R,3.3,3.2,68835,68835,365132,365132,"0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-10-21 10:30:20,2024-08-07 09:32:29,0,0,0
173857288420308,173857288420308,173857288420308001R,173857288420308001R,1.1,1.1,60021,60021,287685,287685,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 08:54:50,0,0,0
173857322189587,173857322189587,173857322189587003R,173857322189587003R,2,2,35021,35021,184431,184431,"0, SCAN_TB, OAPI37_RFN","0, SCAN_TB, OAPI37_RFN",1,1,1970-01-01 00:00:01,2025-02-03 09:00:27,1,1,0
173857420124001,173857420124001,173857420124001001R,173857420124001001R,1.1,1.1,61292,61292,307390,307390,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:16:46,0,0,0
170047424767880,170047424767880,1707991073674489856R,1707991073674489856R,3,2,58635,58635,282320,282320,"SCAN_PRE_CSS, SCAN_TB, OAPI35_RFN, OAPI37_RFN","SCAN_PRE_CSS, SCAN_TB, OAPI35_RFN",1,1,2024-02-15 09:57:53,2024-02-15 09:57:53,2,2,0
172189032678392,172189032678392,172189032678392001R,172189032678392001R,2.1,2.1,3273,3273,410415,410415,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-07-25 09:52:38,2024-07-25 06:52:06,0,0,0
172189032678392,172189032678392,172189032678392002R,172189032678392002R,2.1,2.1,3273,3273,410415,410415,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-07-25 09:52:38,2024-07-25 06:52:06,0,0,0
171731897104881,171731897104881,171731897104881002R,171731897104881002R,2,2,46443,46443,401175,401175,"0, CSS_ACT","0, CSS_ACT",1,1,2024-06-02 12:03:23,2024-06-02 09:02:51,0,0,0
173857439944838,173857439944838,173857439944838001R,173857439944838001R,1.1,1.1,61292,61292,307390,307390,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:20:11,0,0,0
173857440984102,173857440984102,173857440984102001R,173857440984102001R,1.1,1.1,61292,61292,307390,307390,"0, SCAN_TB","0, SCAN_TB",1,1,1970-01-01 00:00:01,2025-02-03 09:20:16,0,0,0
171282804192035,171282804192035,171282804192035002R,171282804192035002R,1.1,1.1,35021,35021,184431,184431,"0, TP_SCAN_OWN_3_1","0, TP_SCAN_OWN_3_1",1,1,2024-04-11 12:34:06,2024-04-11 09:34:01,0,0,0
172640562560120,172640562560120,172640562560120003R,172640562560120003R,2.1,2.1,18729,18729,401168,401168,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-09-15 16:07:59,2024-09-15 13:07:05,0,0,0
172734168931997,172734168931997,172734168931997001R,172734168931997001R,2.1,2.1,46443,46443,401175,401175,"0, CSS_ACT, SCAN_TB","0, CSS_ACT, SCAN_TB",1,1,2024-09-26 12:09:01,2024-09-26 09:08:09,0,0,0
173857426828135,173857426828135,173857426828135002R,173857426828135002R,1,1,61292,61292,307390,307390,0,0,1,1,1970-01-01 00:00:01,2025-02-03 09:18:51,0,0,0
170756503745685,170756503745685,170756503745685001R,170756503745685001R,1.2,1.1,58635,58635,343151,343151,"0, SCAN_TB, SCAN_TB","0, SCAN_TB",1,1,2024-02-10 11:37:17,2024-02-10 11:37:17,0,0,0
172241957317102,172241957317102,172241957317102001R,172241957317102001R,3.2,3.1,68835,68835,365132,365132,"0, SCAN_TB, CSSCommission, CSSCommission","0, SCAN_TB, CSSCommission, CSSCommission",1,1,2024-07-31 11:06:56,2024-07-31 09:56:45,0,0,0
