channel_level_commission_id,product_id,admin_id,commission,hotel_prepaid_commission_percentage,is_hotel_prepaid_commission_percentage,commission_on_sale_price,hgs_prepaid_commission_percentage,ticket_net_price,museum_net_commission,merchant_net_commission,hotel_commission_net_price,hgs_commission_net_price,resale_currency_level,currency
14013245	13829	15	25	100.00	1	0	0.00	115.00	86.25	0.00	28.75	0.00	1	GBP
14013246	13829	15	25	100.00	1	0	0.00	105.00	78.75	0.00	26.25	0.00	1	GBP
14013247	13829	15	25	100.00	1	0	0.00	45.00	33.75	0.00	11.25	0.00	1	GBP
14013248	13829	15	25	100.00	1	0	0.00	115.00	86.25	0.00	28.75	0.00	1	GBP
14013249	13829	15	25	100.00	1	0	0.00	105.00	78.75	0.00	26.25	0.00	1	GBP
14013250	13829	15	25	100.00	1	0	0.00	45.00	33.75	0.00	11.25	0.00	1	GBP
14013254	13829	15	25	100.00	1	0	0.00	120.00	90.00	0.00	30.00	0.00	1	GBP
14013255	13829	15	25	100.00	1	0	0.00	110.00	82.50	0.00	27.50	0.00	1	GBP
14013256	13829	15	25	100.00	1	0	0.00	50.00	37.50	0.00	12.50	0.00	1	GBP
14036131	13829	15	25	100.00	1	0	0.00	120.00	90.00	0.00	30.00	0.00	1	GBP
14036132	13829	15	25	100.00	1	0	0.00	55.00	41.25	0.00	13.75	0.00	1	GBP
14036135	13829	15	25	100.00	1	0	0.00	50.00	37.50	0.00	12.50	0.00	1	GBP
14751963	13829	15	25	100.00	1	0	0.00	0.00	0.00	0.00	0.00	0.00	1	GBP
14751964	13829	15	25	100.00	1	0	0.00	0.00	0.00	0.00	0.00	0.00	1	GBP
14751965	13829	15	25	100.00	1	0	0.00	0.00	0.00	0.00	0.00	0.00	1	GBP
14751966	13829	15	25	100.00	1	0	0.00	0.00	0.00	0.00	0.00	0.00	1	GBP
15328270	13829	15	25	100.00	1	0	0.00	95.00	71.25	0.00	23.75	0.00	1	GBP
15328271	13829	15	25	100.00	1	0	0.00	40.00	30.00	0.00	10.00	0.00	1	GBP
15328272	13829	15	25	100.00	1	0	0.00	0.00	0.00	0.00	0.00	0.00	1	GBP
15328273	13829	15	25	100.00	1	0	0.00	130.00	97.50	0.00	32.50	0.00	1	GBP
15328274	13829	15	25	100.00	1	0	0.00	55.00	41.25	0.00	13.75	0.00	1	GBP
15328275	13829	15	25	100.00	1	0	0.00	0.00	0.00	0.00	0.00	0.00	1	GBP
15328276	13829	15	25	100.00	1	0	0.00	105.00	78.75	0.00	26.25	0.00	1	GBP
15328277	13829	15	25	100.00	1	0	0.00	45.00	33.75	0.00	11.25	0.00	1	GBP
15328278	13829	15	25	100.00	1	0	0.00	0.00	0.00	0.00	0.00	0.00	1	GBP
15328280	13829	15	25	100.00	1	0	0.00	50.00	37.50	0.00	12.50	0.00	1	GBP
15328281	13829	15	25	100.00	1	0	0.00	0.00	0.00	0.00	0.00	0.00	1	GBP
15328282	13829	15	25	100.00	1	0	0.00	120.00	90.00	0.00	30.00	0.00	1	GBP
15328283	13829	15	25	100.00	1	0	0.00	55.00	41.25	0.00	13.75	0.00	1	GBP
15328284	13829	15	25	100.00	1	0	0.00	0.00	0.00	0.00	0.00	0.00	1	GBP
15328285	13829	15	25	100.00	1	0	0.00	110.00	82.50	0.00	27.50	0.00	1	GBP
15328286	13829	15	25	100.00	1	0	0.00	50.00	37.50	0.00	12.50	0.00	1	GBP
15328287	13829	15	25	100.00	1	0	0.00	0.00	0.00	0.00	0.00	0.00	1	GBP
15328288	13829	15	25	100.00	1	0	0.00	120.00	90.00	0.00	30.00	0.00	1	GBP
15328289	13829	15	25	100.00	1	0	0.00	55.00	41.25	0.00	13.75	0.00	1	GBP
15328290	13829	15	25	100.00	1	0	0.00	0.00	0.00	0.00	0.00	0.00	1	GBP
14013295	13829	17	25	100.00	1	0	0.00	115.00	86.25	0.00	28.75	0.00	1	GBP
14013296	13829	17	25	100.00	1	0	0.00	105.00	78.75	0.00	26.25	0.00	1	GBP
14013297	13829	17	25	100.00	1	0	0.00	45.00	33.75	0.00	11.25	0.00	1	GBP
14013298	13829	17	25	100.00	1	0	0.00	115.00	86.25	0.00	28.75	0.00	1	GBP
14013299	13829	17	25	100.00	1	0	0.00	105.00	78.75	0.00	26.25	0.00	1	GBP
14013300	13829	17	25	100.00	1	0	0.00	45.00	33.75	0.00	11.25	0.00	1	GBP
14013301	13829	17	25	100.00	1	0	0.00	105.00	78.75	0.00	26.25	0.00	1	GBP
14013302	13829	17	25	100.00	1	0	0.00	95.00	71.25	0.00	23.75	0.00	1	GBP
14013304	13829	17	25	100.00	1	0	0.00	40.00	30.00	0.00	10.00	0.00	1	GBP
14013305	13829	17	25	100.00	1	0	0.00	50.00	37.50	0.00	12.50	0.00	1	GBP
14013306	13829	17	25	100.00	1	0	0.00	120.00	90.00	0.00	30.00	0.00	1	GBP
14013307	13829	17	25	100.00	1	0	0.00	110.00	82.50	0.00	27.50	0.00	1	GBP
14036139	13829	17	25	100.00	1	0	0.00	130.00	97.50	0.00	32.50	0.00	1	GBP
14036140	13829	17	25	100.00	1	0	0.00	120.00	90.00	0.00	30.00	0.00	1	GBP
14036141	13829	17	25	100.00	1	0	0.00	55.00	41.25	0.00	13.75	0.00	1	GBP
14036142	13829	17	25	100.00	1	0	0.00	55.00	41.25	0.00	13.75	0.00	1	GBP
14036143	13829	17	25	100.00	1	0	0.00	120.00	90.00	0.00	30.00	0.00	1	GBP
14036144	13829	17	25	100.00	1	0	0.00	130.00	97.50	0.00	32.50	0.00	1	GBP
