vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
172380745238629	172380745238629011R	44587	830	15569	411331	2	4	58.65	99.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172380745238629	172380745238629011R	44587	830	15569	411331	2	17	0.00	99.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172380745238629	172380745238629012R	44587	830	15569	411332	2	1	89.00	89.00	100.00	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172380745238629	172380745238629012R	44587	830	15569	411332	2	2	0.00	89.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172380745238629	172380745238629012R	44587	830	15569	411332	2	3	22.25	89.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172380745238629	172380745238629012R	44587	830	15569	411332	2	4	55.35	89.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172380745238629	172380745238629012R	44587	830	15569	411332	2	17	0.00	89.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
173265141254740	173265141254740001R	9029	830	15605	339946	2	1	125.00	125.00	100.00	No_Setting_found	1	1
173265141254740	173265141254740001R	9029	830	15605	339946	2	2	0.00	125.00	0.00	0.00	1	1
173265141254740	173265141254740001R	9029	830	15605	339946	2	3	35.00	125.00	28.00	35.00	1	1
173265141254740	173265141254740001R	9029	830	15605	339946	2	4	90.00	125.00	72.00	90.00	1	1
173265141254740	173265141254740001R	9029	830	15605	339946	2	17	0.00	125.00	No_Setting_found	0.00	1	1
173265141254740	173265141254740002R	9029	830	15605	339947	2	1	115.00	115.00	100.00	No_Setting_found	1	1
173265141254740	173265141254740002R	9029	830	15605	339947	2	2	0.00	115.00	0.00	0.00	1	1
173265141254740	173265141254740002R	9029	830	15605	339947	2	3	32.20	115.00	28.00	32.20	1	1
173265141254740	173265141254740002R	9029	830	15605	339947	2	4	82.80	115.00	72.00	82.80	1	1
173265141254740	173265141254740002R	9029	830	15605	339947	2	17	0.00	115.00	No_Setting_found	0.00	1	1
173265141254740	173265141254740003R	9029	830	15605	339950	2	1	120.00	120.00	100.00	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
173265141254740	173265141254740003R	9029	830	15605	339950	2	2	0.00	120.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
173265141254740	173265141254740003R	9029	830	15605	339950	2	3	30.00	120.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
173265141254740	173265141254740003R	9029	830	15605	339950	2	4	90.00	120.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
173265141254740	173265141254740003R	9029	830	15605	339950	2	17	0.00	120.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
173265141254740	173265141254740004R	9029	830	15605	339950	2	1	120.00	120.00	100.00	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
173265141254740	173265141254740004R	9029	830	15605	339950	2	2	0.00	120.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
173265141254740	173265141254740004R	9029	830	15605	339950	2	3	30.00	120.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
173265141254740	173265141254740004R	9029	830	15605	339950	2	4	90.00	120.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
173265141254740	173265141254740004R	9029	830	15605	339950	2	17	0.00	120.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
172785938831606	172785938831606001R	6458	830	61426	415014	2	1	125.00	125.00	100.00	No_Setting_found	1	1
172785938831606	172785938831606001R	6458	830	61426	415014	2	2	0.00	125.00	0.00	0.00	1	1
172785938831606	172785938831606001R	6458	830	61426	415014	2	3	28.75	125.00	25.00	31.25	1	1
172785938831606	172785938831606001R	6458	830	61426	415014	2	4	96.25	125.00	75.00	93.75	1	1
172785938831606	172785938831606001R	6458	830	61426	415014	2	17	0.00	125.00	No_Setting_found	0.00	1	1
172785938831606	172785938831606002R	6458	830	61426	415014	2	1	125.00	125.00	100.00	No_Setting_found	1	1
172785938831606	172785938831606002R	6458	830	61426	415014	2	2	0.00	125.00	0.00	0.00	1	1
172785938831606	172785938831606002R	6458	830	61426	415014	2	3	28.75	125.00	25.00	31.25	1	1
172785938831606	172785938831606002R	6458	830	61426	415014	2	4	96.25	125.00	75.00	93.75	1	1
172785938831606	172785938831606002R	6458	830	61426	415014	2	17	0.00	125.00	No_Setting_found	0.00	1	1
vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
172666592354429	172666592354429001R	6458	830	61426	415014	2.1	1	125.00	125.00	100.00	No_Setting_found	1	1
172666592354429	172666592354429001R	6458	830	61426	415014	2.1	2	0.00	125.00	0.00	0.00	1	1
172666592354429	172666592354429001R	6458	830	61426	415014	2.1	3	28.75	125.00	25.00	31.25	1	1
172666592354429	172666592354429001R	6458	830	61426	415014	2.1	4	96.25	125.00	75.00	93.75	1	1
172666592354429	172666592354429001R	6458	830	61426	415014	2.1	17	0.00	125.00	No_Setting_found	0.00	1	1
172666592354429	172666592354429002R	6458	830	61426	415014	2.1	1	125.00	125.00	100.00	No_Setting_found	1	1
172666592354429	172666592354429002R	6458	830	61426	415014	2.1	2	0.00	125.00	0.00	0.00	1	1
172666592354429	172666592354429002R	6458	830	61426	415014	2.1	3	28.75	125.00	25.00	31.25	1	1
172666592354429	172666592354429002R	6458	830	61426	415014	2.1	4	96.25	125.00	75.00	93.75	1	1
172666592354429	172666592354429002R	6458	830	61426	415014	2.1	17	0.00	125.00	No_Setting_found	0.00	1	1
vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
173399208670031	173399208670031001R	6458	830	61426	415014	1.1	1	125.00	125.00	100.00	No_Setting_found	1	1
173399208670031	173399208670031001R	6458	830	61426	415014	1.1	2	0.00	125.00	0.00	0.00	1	1
173399208670031	173399208670031001R	6458	830	61426	415014	1.1	3	28.75	125.00	25.00	31.25	1	1
173399208670031	173399208670031001R	6458	830	61426	415014	1.1	4	96.25	125.00	75.00	93.75	1	1
173399208670031	173399208670031001R	6458	830	61426	415014	1.1	17	0.00	125.00	No_Setting_found	0.00	1	1
173399208670031	173399208670031002R	6458	830	61426	415014	1.1	1	125.00	125.00	100.00	No_Setting_found	1	1
173399208670031	173399208670031002R	6458	830	61426	415014	1.1	2	0.00	125.00	0.00	0.00	1	1
173399208670031	173399208670031002R	6458	830	61426	415014	1.1	3	28.75	125.00	25.00	31.25	1	1
173399208670031	173399208670031002R	6458	830	61426	415014	1.1	4	96.25	125.00	75.00	93.75	1	1
173399208670031	173399208670031002R	6458	830	61426	415014	1.1	17	0.00	125.00	No_Setting_found	0.00	1	1
vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
172264656259494	172264656259494001R	44587	830	25041	319201	2	1	55.00	55.00	100.00	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494001R	44587	830	25041	319201	2	2	0.00	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494001R	44587	830	25041	319201	2	3	16.50	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494001R	44587	830	25041	319201	2	4	38.50	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494001R	44587	830	25041	319201	2	17	0.00	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494002R	44587	830	25041	319201	2	1	55.00	55.00	100.00	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494002R	44587	830	25041	319201	2	2	0.00	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494002R	44587	830	25041	319201	2	3	16.50	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494002R	44587	830	25041	319201	2	4	38.50	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494002R	44587	830	25041	319201	2	17	0.00	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494003R	44587	830	25041	319201	2	1	55.00	55.00	100.00	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494003R	44587	830	25041	319201	2	2	0.00	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494003R	44587	830	25041	319201	2	3	16.50	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494003R	44587	830	25041	319201	2	4	38.50	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494003R	44587	830	25041	319201	2	17	0.00	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494004R	44587	830	25041	319201	2	1	55.00	55.00	100.00	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494004R	44587	830	25041	319201	2	2	0.00	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494004R	44587	830	25041	319201	2	3	16.50	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494004R	44587	830	25041	319201	2	4	38.50	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
172264656259494	172264656259494004R	44587	830	25041	319201	2	17	0.00	55.00	No_Setting_found	No_Setting_found	NO SETTING_FOUND	NO SETTING_FOUND
vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
173564385506486	173564385506486001R	6281	830	61384	339246	3	1	486.00	486.00	100.00	No_Setting_found	1	0
173564385506486	173564385506486001R	6281	830	61384	339246	3	2	-7.50	486.00	0.00	-7.50	1	0
173564385506486	173564385506486001R	6281	830	61384	339246	3	3	121.50	486.00	25.00	121.50	1	0
173564385506486	173564385506486001R	6281	830	61384	339246	3	4	372.00	486.00	75.00	364.50	1	0
173564385506486	173564385506486001R	6281	830	61384	339246	3	17	0.00	486.00	No_Setting_found	0.00	1	0
vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
173045036741390	173045036741390001R	6458	830	61395	414992	2.1	1	99.00	99.00	100.00	No_Setting_found	1	1
173045036741390	173045036741390001R	6458	830	61395	414992	2.1	2	0.00	99.00	0.00	0.00	1	1
173045036741390	173045036741390001R	6458	830	61395	414992	2.1	3	22.77	99.00	25.00	24.75	1	1
173045036741390	173045036741390001R	6458	830	61395	414992	2.1	4	76.23	99.00	75.00	74.25	1	1
173045036741390	173045036741390001R	6458	830	61395	414992	2.1	17	0.00	99.00	No_Setting_found	0.00	1	1
173045036741390	173045036741390002R	6458	830	61395	414992	2.1	1	99.00	99.00	100.00	No_Setting_found	1	1
173045036741390	173045036741390002R	6458	830	61395	414992	2.1	2	0.00	99.00	0.00	0.00	1	1
173045036741390	173045036741390002R	6458	830	61395	414992	2.1	3	22.77	99.00	25.00	24.75	1	1
173045036741390	173045036741390002R	6458	830	61395	414992	2.1	4	76.23	99.00	75.00	74.25	1	1
173045036741390	173045036741390002R	6458	830	61395	414992	2.1	17	0.00	99.00	No_Setting_found	0.00	1	1
173045036741390	173045036741390003R	6458	830	61395	414992	2.1	1	99.00	99.00	100.00	No_Setting_found	1	1
173045036741390	173045036741390003R	6458	830	61395	414992	2.1	2	0.00	99.00	0.00	0.00	1	1
173045036741390	173045036741390003R	6458	830	61395	414992	2.1	3	22.77	99.00	25.00	24.75	1	1
173045036741390	173045036741390003R	6458	830	61395	414992	2.1	4	76.23	99.00	75.00	74.25	1	1
173045036741390	173045036741390003R	6458	830	61395	414992	2.1	17	0.00	99.00	No_Setting_found	0.00	1	1
173045036741390	173045036741390004R	6458	830	61395	414992	2.1	1	99.00	99.00	100.00	No_Setting_found	1	1
173045036741390	173045036741390004R	6458	830	61395	414992	2.1	2	0.00	99.00	0.00	0.00	1	1
173045036741390	173045036741390004R	6458	830	61395	414992	2.1	3	22.77	99.00	25.00	24.75	1	1
173045036741390	173045036741390004R	6458	830	61395	414992	2.1	4	76.23	99.00	75.00	74.25	1	1
173045036741390	173045036741390004R	6458	830	61395	414992	2.1	17	0.00	99.00	No_Setting_found	0.00	1	1
vt_group_no	transaction_id	hotel_id	channel_id	ticketId	ticketpriceschedule_id	version	row_type	partner_net_price	salePrice	percentage_commission	commission_price	commission_on_sale	resale_percentage
172951360193028	172951360193028001R	6458	830	61395	414992	2.1	1	99.00	99.00	100.00	No_Setting_found	1	1
172951360193028	172951360193028001R	6458	830	61395	414992	2.1	2	0.00	99.00	0.00	0.00	1	1
172951360193028	172951360193028001R	6458	830	61395	414992	2.1	3	22.77	99.00	25.00	24.75	1	1
172951360193028	172951360193028001R	6458	830	61395	414992	2.1	4	76.23	99.00	75.00	74.25	1	1
172951360193028	172951360193028001R	6458	830	61395	414992	2.1	17	0.00	99.00	No_Setting_found	0.00	1	1
172951360193028	172951360193028002R	6458	830	61395	414992	2.1	1	99.00	99.00	100.00	No_Setting_found	1	1
172951360193028	172951360193028002R	6458	830	61395	414992	2.1	2	0.00	99.00	0.00	0.00	1	1
172951360193028	172951360193028002R	6458	830	61395	414992	2.1	3	22.77	99.00	25.00	24.75	1	1
172951360193028	172951360193028002R	6458	830	61395	414992	2.1	4	76.23	99.00	75.00	74.25	1	1
172951360193028	172951360193028002R	6458	830	61395	414992	2.1	17	0.00	99.00	No_Setting_found	0.00	1	1
172951360193028	172951360193028003R	6458	830	61395	414992	2.1	1	99.00	99.00	100.00	No_Setting_found	1	1
172951360193028	172951360193028003R	6458	830	61395	414992	2.1	2	0.00	99.00	0.00	0.00	1	1
172951360193028	172951360193028003R	6458	830	61395	414992	2.1	3	22.77	99.00	25.00	24.75	1	1
172951360193028	172951360193028003R	6458	830	61395	414992	2.1	4	76.23	99.00	75.00	74.25	1	1
172951360193028	172951360193028003R	6458	830	61395	414992	2.1	17	0.00	99.00	No_Setting_found	0.00	1	1
172951360193028	172951360193028004R	6458	830	61395	414992	2.1	1	99.00	99.00	100.00	No_Setting_found	1	1
172951360193028	172951360193028004R	6458	830	61395	414992	2.1	2	0.00	99.00	0.00	0.00	1	1
172951360193028	172951360193028004R	6458	830	61395	414992	2.1	3	22.77	99.00	25.00	24.75	1	1
172951360193028	172951360193028004R	6458	830	61395	414992	2.1	4	76.23	99.00	75.00	74.25	1	1
172951360193028	172951360193028004R	6458	830	61395	414992	2.1	17	0.00	99.00	No_Setting_found	0.00	1	1
172951360193028	172951360193028005R	6458	830	61395	414992	2.1	1	99.00	99.00	100.00	No_Setting_found	1	1
172951360193028	172951360193028005R	6458	830	61395	414992	2.1	2	0.00	99.00	0.00	0.00	1	1
172951360193028	172951360193028005R	6458	830	61395	414992	2.1	3	22.77	99.00	25.00	24.75	1	1
172951360193028	172951360193028005R	6458	830	61395	414992	2.1	4	76.23	99.00	75.00	74.25	1	1
