primary_key,key_value,column_name,old_value,new_value,modified_at
id,145334,end_date,1735685940,1743461940,2024-12-17 06:48:40
id,145334,updated_at,2024-04-02 11:23:47,2024-12-17 06:48:40,2024-12-17 06:48:40
id,145336,end_date,1735685940,1743461940,2024-12-17 06:48:40
id,145336,updated_at,2024-04-02 11:23:47,2024-12-17 06:48:40,2024-12-17 06:48:40
id,145338,end_date,1735685940,1743461940,2024-12-17 06:48:40
id,145338,updated_at,2024-04-02 11:23:47,2024-12-17 06:48:40,2024-12-17 06:48:40
id,147176,end_date,1735689540,1743465540,2024-12-17 06:49:34
id,147176,updated_at,2024-04-02 10:23:03,2024-12-17 06:49:34,2024-12-17 06:49:34
id,147178,end_date,1735689540,1740787140,2024-12-17 05:55:04
id,147178,updated_at,2024-04-02 10:32:41,2024-12-17 05:55:04,2024-12-17 05:55:04
id,147497,end_date,1735685940,1743461940,2024-12-17 06:54:31
id,147497,updated_at,2024-04-02 10:25:34,2024-12-17 06:54:31,2024-12-17 06:54:31
id,147499,end_date,1735685940,1743461940,2024-12-17 06:53:36
id,147499,updated_at,2024-04-02 10:26:46,2024-12-17 06:53:35,2024-12-17 06:53:36
id,147501,end_date,1735685940,1740783540,2024-12-17 05:58:08
id,147501,updated_at,2024-04-02 10:30:17,2024-12-17 05:58:07,2024-12-17 05:58:08
id,147503,end_date,1735689540,1740787140,2024-12-17 05:57:19
id,147503,updated_at,2023-12-07 03:16:10,2024-12-17 05:57:18,2024-12-17 05:57:19
id,147505,end_date,1735685940,1743461940,2024-12-17 06:55:28
id,147505,updated_at,2024-04-02 10:25:07,2024-12-17 06:55:27,2024-12-17 06:55:28
id,147507,end_date,1735689540,1743465540,2024-12-17 06:50:54
id,147507,updated_at,2024-03-18 13:15:40,2024-12-17 06:50:54,2024-12-17 06:50:54
id,147509,end_date,1735689540,1740787140,2024-12-17 05:56:19
id,147509,updated_at,2024-03-18 13:08:04,2024-12-17 05:56:19,2024-12-17 05:56:19
id,168907,agefrom,8,12,2024-12-18 04:36:02
id,168907,ageto,99,30,2024-12-18 04:36:02
id,168927,agefrom,13,12,2024-12-18 04:24:03
id,168927,ageto,99,30,2024-12-18 04:24:03
id,168927,calculated_hgs_commission,7.09,7.3,2024-12-18 04:24:03
id,168927,calculated_hotel_commission,7.09,7.3,2024-12-18 04:24:03
id,168927,default_price,29.55,30.45,2024-12-18 04:24:03
id,168927,hotelNetPrice,7.09,7.3,2024-12-18 04:24:03
id,168927,museumCommission,22.46,23.15,2024-12-18 04:24:03
id,168927,museumNetPrice,22.46,23.15,2024-12-18 04:24:03
id,168927,newPrice,29.55,30.45,2024-12-18 04:24:03
id,168927,original_price,29.55,30.45,2024-12-18 04:24:03
id,168927,pricetext,29.55,30.45,2024-12-18 04:24:03
id,168927,smartbox_price,23.17,23.88,2024-12-18 04:24:03
id,168927,subtotal,7.09,7.3,2024-12-18 04:24:03
id,168927,ticket_net_price,29.55,30.45,2024-12-18 04:24:03
id,168927,totalCommission,29.55,30.45,2024-12-18 04:24:03
id,168927,totalNetCommission,29.55,30.45,2024-12-18 04:24:03
id,168929,calculated_hgs_commission,4.87,5.02,2024-12-18 04:24:03
id,168929,calculated_hotel_commission,4.87,5.02,2024-12-18 04:24:03
id,168929,default_price,20.31,20.93,2024-12-18 04:24:03
id,168929,hotelNetPrice,4.87,5.02,2024-12-18 04:24:03
id,168929,museumCommission,15.44,15.91,2024-12-18 04:24:03
id,168929,museumNetPrice,15.44,15.91,2024-12-18 04:24:03
id,168929,newPrice,20.31,20.93,2024-12-18 04:24:03
id,168929,original_price,20.31,20.93,2024-12-18 04:24:03
id,168929,pricetext,20.31,20.93,2024-12-18 04:24:03
id,168929,smartbox_price,15.93,16.41,2024-12-18 04:24:03
id,168929,subtotal,4.87,5.02,2024-12-18 04:24:03
id,168929,ticket_net_price,20.31,20.93,2024-12-18 04:24:03
id,168929,totalCommission,20.31,20.93,2024-12-18 04:24:03
id,168929,totalNetCommission,20.31,20.93,2024-12-18 04:24:03
id,171521,ageto,99,30,2024-12-18 04:54:02
id,171523,timezone,+02.00,+0,2024-12-17 04:28:02
id,171525,timezone,+02.00,+0,2024-12-17 04:28:02
id,171527,ageto,99,30,2024-12-18 04:54:02
id,171529,timezone,+02.00,+0,2024-12-17 04:28:02
id,171531,timezone,+02.00,+0,2024-12-17 04:28:02
id,172171,calculated_hgs_commission,5.78,5.6,2024-12-18 04:16:02
id,172171,calculated_hotel_commission,5.78,5.6,2024-12-18 04:16:02
id,172171,default_price,28.86,28,2024-12-18 04:16:02
id,172171,hotelNetPrice,5.78,5.6,2024-12-18 04:16:02
id,172171,museumCommission,23.08,22.4,2024-12-18 04:16:02
id,172171,museumNetPrice,23.08,22.4,2024-12-18 04:16:02
id,172171,newPrice,28.86,28,2024-12-18 04:16:02
id,172171,original_price,28.86,28,2024-12-18 04:16:02
id,172171,pricetext,28.86,28.00,2024-12-18 04:16:02
id,172171,smartbox_price,23.66,22.96,2024-12-18 04:16:02
id,172171,subtotal,5.78,5.6,2024-12-18 04:16:02
id,172171,ticket_net_price,28.86,28,2024-12-18 04:16:02
id,172171,totalCommission,5.78,28,2024-12-18 04:16:02
id,172171,totalNetCommission,28.86,28,2024-12-18 04:16:02
id,172173,calculated_hgs_commission,4.4,4.26,2024-12-18 04:16:02
id,172173,calculated_hotel_commission,4.4,4.26,2024-12-18 04:16:02
id,172173,default_price,21.98,21.32,2024-12-18 04:16:02
id,172173,hotelNetPrice,4.4,4.26,2024-12-18 04:16:02
id,172173,museumCommission,17.58,17.06,2024-12-18 04:16:02
id,172173,museumNetPrice,17.58,17.06,2024-12-18 04:16:02
id,172173,newPrice,21.98,21.32,2024-12-18 04:16:02
id,172173,original_price,21.98,21.32,2024-12-18 04:16:02
id,172173,pricetext,21.98,21.32,2024-12-18 04:16:02
id,172173,smartbox_price,18.02,17.48,2024-12-18 04:16:02
id,172173,subtotal,4.4,4.26,2024-12-18 04:16:02
id,172173,ticket_net_price,21.98,21.32,2024-12-18 04:16:02
id,172173,totalCommission,4.4,21.32,2024-12-18 04:16:02
id,172173,totalNetCommission,21.98,21.32,2024-12-18 04:16:02
id,172175,calculated_hgs_commission,3.3,3.2,2024-12-18 04:16:02
id,172175,calculated_hotel_commission,3.3,3.2,2024-12-18 04:16:02
id,172175,default_price,16.48,15.98,2024-12-18 04:16:02
id,172175,hotelNetPrice,3.3,3.2,2024-12-18 04:16:02
id,172175,museumCommission,13.18,12.78,2024-12-18 04:16:02
id,172175,museumNetPrice,13.18,12.78,2024-12-18 04:16:02
id,172175,newPrice,16.48,15.98,2024-12-18 04:16:02
id,172175,original_price,16.48,15.98,2024-12-18 04:16:02
id,172175,pricetext,16.48,15.98,2024-12-18 04:16:02
id,172175,smartbox_price,13.51,13.1,2024-12-18 04:16:02
id,172175,subtotal,3.3,3.2,2024-12-18 04:16:02
id,172175,ticket_net_price,16.48,15.98,2024-12-18 04:16:02
