mec_id	cat_id	hotel_id	museum_id	product_type	company	rezgo_ticket_id	rezgo_id	rezgo_key	tourcms_tour_id	tourcms_channel_id	tax_value	service_cost	latest_sold_date	shortDesc	eventImage	ticketwithdifferentpricing	saveamount	ticketPrice	pricetext	ticket_net_price	newPrice	totalticketPrice	new_discount_price	is_reservation	agefrom	ageto	ticketType	is_combi_ticket_allowed	is_booking_combi_ticket_allowed	start_date	end_date	extra_text_field	deleted	is_updated	third_party_id	third_party_ticket_id	third_party_parameters
5440	17	347	43	0	Blue Boat Company	0	0	lll	0	0	9.00	0	2021-06-19	Blue Boat Company - Amsterdam Light Festival  Open Boat Cruise	img_1570088820_test1570088874.jpg	1	0.00	25.00	25.00	22.94	25.00	25.00	25.00	0	13	99	Adult	0	0	1690887600	1737327540	0	0	0	0	0	
21921	7	347	2157	0	City Sightseeing Reykjavik	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Reykjavik 48 Hours	img_1634130738_1634130800__reyk1.jpeg	1	0.00	46.00	46.00	46.00	46.00	46.00	46.00	0	16	99	Adult	0	0	1717196400	1743461940	0	0	0	51	250079	{"activityid":"250079","get_availability_from_tp":"1","third_party_code":"BOKUN_CSS","duration":"1439"}
17984	7	347	1941	0	City Sightseeing Norway	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Oslo 48hr Bus	img_1613195892_Oslo-03_P_74_ee556959-5ad3-461d-a3d0-f24c538bfdf1.jpeg	1	0.00	47.00	47.00	47.00	47.00	47.00	47.00	0	16	99	Adult	0	0	1708563726	1730242740	0	0	0	2	PT700072	{"third_party_account":"norway","iticket_product_id":"PT700072","third_party_code":"ITICKET2"}
2879	7	347	1925	0	City Sightseeing St. Petersburg	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off St. Petersburg Bus (24 hours)	img_1634569252_1634569276__generic1.jpeg	1	0.00	30.00	30.00	30.00	30.00	30.00	30.00	0	14	59	Adult	0	0	1648764000	1680299940	0	0	0	5	200	{"name":"Hop-On Hop-Off St. Petersburg Bus (24 hours)","supplier":"City Sightseeing St. Petersburg","supplier_id":"102","supplier_integrated_key":"palisis.stpetersburg","country":"RU","city":"LED","timezone":"Europe\\/Moscow","third_party_code":"CS","cs_product_id":"123","cs_option_id":"200","option_name":"Bus (24 hours)","unlimited_capacity":true}
3255	7	347	2181	0	City Sightseeing Moscow	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Moscow 24hr Bus	img_1634568222_1634568252__generic1.jpeg	1	0.00	30.00	30.00	30.00	30.00	30.00	30.00	0	14	59	Adult	0	0	1648764000	1680299940	0	0	0	5	191	{"name":"Hop-On Hop-Off Moscow Bus (24 hours)","supplier":"City Sightseeing Moscow","supplier_id":"101","supplier_integrated_key":"palisis.moscow","country":"RU","city":"MOW","timezone":"Europe\\/Moscow","third_party_code":"CS","cs_product_id":"117","cs_option_id":"191","option_name":"Bus (24 hours)","unlimited_capacity":true}
2915	136	347	1941	0	City Sightseeing Norway	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Oslo 24hr Bus	img_1612764544_Oslo-03_P_74_ee556959-5ad3-461d-a3d0-f24c538bfdf1.jpeg	1	0.00	40.00	40.00	40.00	40.00	40.00	40.00	0	16	99	Adult	0	0	1708563607	1730411940	0	0	0	2	PT700070	{"third_party_account":"norway","iticket_product_id":"PT700070","third_party_code":"ITICKET2"}
3223	136	347	2157	0	City Sightseeing Reykjavik	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Reykjavik 24 Hours	img_1612764063_Reykjavik3_P_58_9fd3f620-a4cb-40df-b162-112c247b1c90.jpeg	1	0.00	28.00	28.00	28.00	28.00	28.00	28.00	0	16	99	Adult	0	0	1717192800	1743458340	0	0	0	51	5795	{"activityid":"5795","third_party_code":"BOKUN_CSS","duration":"1439"}
3259	136	347	2189	0	City Sightseeing Singapore	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Singapore 24 Hours	img_1612767493_Singapore-02_P_130_9da9101b-38ac-4d83-8551-7843b51f9d12.jpeg	1	0.00	36.00	36.00	36.00	36.00	36.00	36.00	0	13	99	Adult	0	0	1593554400	1680299940	0	0	0	5	213	{"name":"Hop-On Hop-Off Singapore 24 Hours","supplier":"Singapore DUCKtours","supplier_id":"104","supplier_integrated_key":"prio.singapore","country":"SG","city":"SIN","timezone":"Asia\\/Singapore","third_party_code":"CS","cs_product_id":"130","cs_option_id":"213","option_name":"24 Hours","unlimited_capacity":"1"}
3277	136	347	2093	0	City Sightseeing Sweden	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Stockholm Bus - 24 Hours	img_1612768230_Stockholm-02_P_243_2d03668c-bb27-4ced-86f0-673f1ad3fdcb.jpeg	1	0.00	35.00	35.00	35.00	35.00	35.00	35.00	0	16	99	Adult	0	0	1672914596	1767218340	0	0	0	2	PT400033	{"third_party_account":"sweden","iticket_product_id":"PT400033","third_party_code":"ITICKET2"}
3279	136	347	2093	0	City Sightseeing Sweden	0	0	lll	0	0	0.00	0	2021-06-19	Hop-On Hop-Off Stockholm Bus - 72 Hours	img_1612768263_Stockholm-02_P_243_2d03668c-bb27-4ced-86f0-673f1ad3fdcb.jpeg	1	0.00	48.00	48.00	48.00	48.00	48.00	48.00	0	16	99	Adult	0	0	1672914718	1767218340	0	0	0	2	PT400035	{"third_party_account":"sweden","iticket_product_id":"PT400035","third_party_code":"ITICKET2"}
