channel_id,catalog_id,catalogkey,channelkey,ticket_id,ticketpriceschedule_id,hotel_prepaid_commission_percentage
0,171640784610681,171640784610681-428260,0-428260,40338,428260,25
0,171640784610681,171640784610681-428261,0-428261,40338,428261,25
0,171640784610681,171640784610681-428262,0-428262,40338,428262,25
0,167715372656153,167715372656153-428476,0-428476,23158,428476,25
0,171640784610681,171640784610681-428476,0-428476,23158,428476,25
0,171640808526563,171640808526563-428476,0-428476,23158,428476,30
0,167715372656153,167715372656153-428479,0-428479,23158,428479,25
0,171640784610681,171640784610681-428479,0-428479,23158,428479,25
0,171640818641181,171640818641181-339518,0-339518,13844,339518,25
0,167715372656153,167715372656153-428486,0-428486,15566,428486,25
0,171640784610681,171640784610681-428486,0-428486,15566,428486,25
0,171640808526563,171640808526563-428486,0-428486,15566,428486,30
0,171640784610681,171640784610681-428487,0-428487,15566,428487,25
0,171640808526563,171640808526563-428487,0-428487,15566,428487,30
0,171640784610681,171640784610681-428489,0-428489,15566,428489,25
0,171640808526563,171640808526563-428489,0-428489,15566,428489,30
0,171640784610681,171640784610681-428481,0-428481,13904,428481,25
0,171640784610681,171640784610681-428482,0-428482,13904,428482,25
0,171640808526563,171640808526563-350996,0-350996,70902,350996,28
0,171640808526563,171640808526563-350997,0-350997,70902,350997,30
0,171640808526563,171640808526563-350998,0-350998,70902,350998,30
0,171640808526563,171640808526563-350999,0-350999,70902,350999,30
0,171640784610681,171640784610681-428568,0-428568,70902,428568,25
0,171640784610681,171640784610681-428569,0-428569,70902,428569,25
0,171640784610681,171640784610681-428571,0-428571,70902,428571,25
0,171640784610681,171640784610681-428566,0-428566,70893,428566,25
0,171640818641181,171640818641181-339531,0-339531,13916,339531,30
0,167715372656153,167715372656153-428448,0-428448,13916,428448,25
0,171640784610681,171640784610681-428448,0-428448,13916,428448,25
0,171640808526563,171640808526563-428448,0-428448,13916,428448,30
0,171640784610681,171640784610681-428449,0-428449,13916,428449,25
0,167715372656153,167715372656153-428451,0-428451,13916,428451,25
0,171640784610681,171640784610681-428451,0-428451,13916,428451,25
0,167715372656153,167715372656153-428452,0-428452,13916,428452,25
0,171640784610681,171640784610681-428546,0-428546,57036,428546,25
0,171640784610681,171640784610681-428549,0-428549,57036,428549,25
0,171640784610681,171640784610681-428557,0-428557,57039,428557,25
0,171640784610681,171640784610681-428560,0-428560,57039,428560,25
0,171640797655057,171640797655057-428552,0-428552,13961,428552,28
0,171640797655057,171640797655057-428555,0-428555,13961,428555,28
0,171640784610681,171640784610681-428912,0-428912,13997,428912,20
0,167715372656153,167715372656153-428442,0-428442,22886,428442,25
0,171640784610681,171640784610681-428442,0-428442,22886,428442,25
0,167715372656153,167715372656153-428445,0-428445,22886,428445,25
0,171640784610681,171640784610681-428445,0-428445,22886,428445,25
0,171640784610681,171640784610681-428410,0-428410,13850,428410,25
0,171640818641181,171640818641181-428410,0-428410,13850,428410,20
0,171640784610681,171640784610681-428412,0-428412,13850,428412,25
0,167715372656153,167715372656153-428517,0-428517,15599,428517,25
0,171640784610681,171640784610681-428517,0-428517,15599,428517,25
0,171640808526563,171640808526563-428517,0-428517,15599,428517,30
0,171640808526563,171640808526563-428518,0-428518,15599,428518,30
0,171640784610681,171640784610681-428520,0-428520,15599,428520,25
0,171640808526563,171640808526563-428520,0-428520,15599,428520,30
0,171640797655057,171640797655057-243119,0-243119,13949,243119,28
0,171640818641181,171640818641181-339573,0-339573,13931,339573,30
0,171640818641181,171640818641181-339577,0-339577,13931,339577,30
0,171640808526563,171640808526563-428458,0-428458,13931,428458,30
0,171640818641181,171640818641181-339734,0-339734,13928,339734,30
0,167715372656153,167715372656153-428463,0-428463,13928,428463,25
0,171640784610681,171640784610681-428463,0-428463,13928,428463,25
0,171640797655057,171640797655057-428463,0-428463,13928,428463,28
0,171640808526563,171640808526563-428463,0-428463,13928,428463,30
0,167715372656153,167715372656153-428464,0-428464,13928,428464,25
0,171640784610681,171640784610681-428464,0-428464,13928,428464,25
0,171640808526563,171640808526563-428464,0-428464,13928,428464,30
0,171640784610681,171640784610681-428466,0-428466,13928,428466,25
0,171640797655057,171640797655057-428466,0-428466,13928,428466,28
0,171640808526563,171640808526563-428466,0-428466,13928,428466,30
0,171640784610681,171640784610681-429743,0-429743,14039,429743,25
0,171640784610681,171640784610681-429746,0-429746,14039,429746,25
0,171640784610681,171640784610681-429807,0-429807,14027,429807,25
0,171640784610681,171640784610681-428532,0-428532,15605,428532,25
0,171640784610681,171640784610681-430134,0-430134,15650,430134,25
0,171640784610681,171640784610681-430135,0-430135,15650,430135,25
0,167715372656153,167715372656153-428453,0-428453,22578,428453,25
0,171640784610681,171640784610681-428453,0-428453,22578,428453,25
0,171640784610681,171640784610681-428527,0-428527,22584,428527,25
0,171640784610681,171640784610681-428528,0-428528,22584,428528,25
0,171640784610681,171640784610681-354305,0-354305,73023,354305,25
0,171640784610681,171640784610681-428437,0-428437,73023,428437,25
0,171640808526563,171640808526563-366841,0-366841,74770,366841,20
0,171640808526563,171640808526563-366842,0-366842,74770,366842,20
0,171640784610681,171640784610681-433496,0-433496,14453,433496,20
0,171640808526563,171640808526563-433496,0-433496,14453,433496,23
0,171640784610681,171640784610681-285388,0-285388,14495,285388,18
0,171640808526563,171640808526563-285388,0-285388,14495,285388,21
0,171640818641181,171640818641181-285388,0-285388,14495,285388,21
0,171640784610681,171640784610681-285389,0-285389,14495,285389,18
0,171640808526563,171640808526563-285389,0-285389,14495,285389,21
0,171640818641181,171640818641181-285389,0-285389,14495,285389,21
0,171640808526563,171640808526563-285390,0-285390,14495,285390,21
0,171640784610681,171640784610681-428941,0-428941,41672,428941,25
0,171640797655057,171640797655057-428941,0-428941,41672,428941,25
0,171640808526563,171640808526563-428941,0-428941,41672,428941,25
0,171640784610681,171640784610681-428942,0-428942,41672,428942,25
0,171640818641181,171640818641181-384498,0-384498,13817,384498,25
0,171640818641181,171640818641181-384499,0-384499,13817,384499,25
0,171640818641181,171640818641181-384501,0-384501,13820,384501,25
0,171640818641181,171640818641181-384502,0-384502,13820,384502,25
0,171640818641181,171640818641181-387855,0-387855,14153,387855,5
0,171640818641181,171640818641181-387856,0-387856,14153,387856,5
0,171640818641181,171640818641181-387858,0-387858,14153,387858,5
0,171640818641181,171640818641181-387859,0-387859,14153,387859,5
0,171640784610681,171640784610681-429504,0-429504,69480,429504,15
0,171640784610681,171640784610681-429505,0-429505,69480,429505,15
0,171640818641181,171640818641181-425834,0-425834,14228,425834,20
0,171640818641181,171640818641181-425847,0-425847,14228,425847,20
0,171640818641181,171640818641181-434501,0-434501,14228,434501,20
0,171640818641181,171640818641181-434509,0-434509,14228,434509,20
0,171640818641181,171640818641181-422862,0-422862,14336,422862,20
0,171640818641181,171640818641181-422865,0-422865,14336,422865,20
0,171640781409394,171640781409394-303546,0-303546,50601,303546,0
0,171640784610681,171640784610681-303546,0-303546,50601,303546,10
0,171640797655057,171640797655057-303546,0-303546,50601,303546,15
0,171640808526563,171640808526563-303546,0-303546,50601,303546,15
0,171640818641181,171640818641181-303546,0-303546,50601,303546,15
0,171640784610681,171640784610681-303547,0-303547,50601,303547,10
0,171640797655057,171640797655057-303547,0-303547,50601,303547,15
0,171640808526563,171640808526563-303547,0-303547,50601,303547,15
0,171640818641181,171640818641181-303547,0-303547,50601,303547,15
0,171640781409394,171640781409394-303549,0-303549,50595,303549,0
0,171640797655057,171640797655057-303549,0-303549,50595,303549,15
0,171640808526563,171640808526563-303549,0-303549,50595,303549,15
0,171640813023962,171640813023962-303549,0-303549,50595,303549,15
0,171640818641181,171640818641181-303549,0-303549,50595,303549,15
0,171640784610681,171640784610681-303550,0-303550,50595,303550,10
0,171640797655057,171640797655057-303550,0-303550,50595,303550,15
0,171640808526563,171640808526563-303550,0-303550,50595,303550,15
0,171640808526563,171640808526563-303487,0-303487,17618,303487,15
0,171640818641181,171640818641181-303487,0-303487,17618,303487,15
0,167715372656153,167715372656153-303523,0-303523,24924,303523,15
0,171640781409394,171640781409394-303523,0-303523,24924,303523,0
0,171640784610681,171640784610681-303523,0-303523,24924,303523,10
0,171640784610681,171640784610681-303524,0-303524,24924,303524,10
0,171640784610681,171640784610681-303526,0-303526,14138,303526,10
0,171640784610681,171640784610681-303527,0-303527,14138,303527,10
0,171640784610681,171640784610681-303552,0-303552,14126,303552,10
0,171640797655057,171640797655057-303552,0-303552,14126,303552,15
0,171640813023962,171640813023962-303552,0-303552,14126,303552,15
0,171640784610681,171640784610681-303553,0-303553,14126,303553,10
0,171640797655057,171640797655057-303553,0-303553,14126,303553,15
0,171640781409394,171640781409394-303565,0-303565,14432,303565,0
0,171640784610681,171640784610681-303565,0-303565,14432,303565,10
0,171640797655057,171640797655057-303565,0-303565,14432,303565,15
0,171640808526563,171640808526563-303565,0-303565,14432,303565,15
0,171640784610681,171640784610681-303566,0-303566,14432,303566,10
0,171640797655057,171640797655057-303566,0-303566,14432,303566,15
0,171640781409394,171640781409394-303560,0-303560,50545,303560,0
0,171640784610681,171640784610681-303560,0-303560,50545,303560,10
0,171640797655057,171640797655057-303560,0-303560,50545,303560,15
0,171640808526563,171640808526563-303560,0-303560,50545,303560,15
0,171640813023962,171640813023962-303560,0-303560,50545,303560,15
0,171640781409394,171640781409394-303561,0-303561,50545,303561,0
0,171640784610681,171640784610681-303561,0-303561,50545,303561,10
0,171640797655057,171640797655057-303561,0-303561,50545,303561,15
0,171640808526563,171640808526563-303561,0-303561,50545,303561,15
0,171640813023962,171640813023962-303561,0-303561,50545,303561,15
0,171640784610681,171640784610681-303477,0-303477,17603,303477,10
0,171640781409394,171640781409394-303478,0-303478,17603,303478,0
0,171640784610681,171640784610681-303493,0-303493,14660,303493,10
0,171640781409394,171640781409394-303497,0-303497,15827,303497,0
0,171640784610681,171640784610681-303497,0-303497,15827,303497,10
0,171640797655057,171640797655057-303497,0-303497,15827,303497,15
0,171640784610681,171640784610681-303498,0-303498,15827,303498,10
0,171640784610681,171640784610681-303490,0-303490,50583,303490,10
0,171640797655057,171640797655057-303490,0-303490,50583,303490,15
0,171640797655057,171640797655057-303491,0-303491,50583,303491,15
0,171640784610681,171640784610681-272822,0-272822,13826,272822,25
0,171640797655057,171640797655057-272822,0-272822,13826,272822,25
0,171640808526563,171640808526563-272822,0-272822,13826,272822,25
0,171640818641181,171640818641181-272822,0-272822,13826,272822,25
0,171640784610681,171640784610681-272823,0-272823,13826,272823,25
0,171640797655057,171640797655057-272823,0-272823,13826,272823,25
0,171640784610681,171640784610681-345466,0-345466,14342,345466,15
0,171640784610681,171640784610681-345467,0-345467,14342,345467,15
0,171640808526563,171640808526563-303480,0-303480,17609,303480,15
0,171640797655057,171640797655057-303481,0-303481,17609,303481,15
0,171640808526563,171640808526563-303481,0-303481,17609,303481,15
0,171640781409394,171640781409394-303504,0-303504,14426,303504,0
0,171640784610681,171640784610681-303504,0-303504,14426,303504,10
0,171640818641181,171640818641181-303504,0-303504,14426,303504,15
0,171640781409394,171640781409394-303507,0-303507,14429,303507,0
0,171640784610681,171640784610681-303507,0-303507,14429,303507,10
0,171640784610681,171640784610681-303508,0-303508,14429,303508,10
0,171640784610681,171640784610681-303500,0-303500,50575,303500,10
0,171640797655057,171640797655057-303500,0-303500,50575,303500,15
0,171640797655057,171640797655057-303502,0-303502,50575,303502,10
0,171640818641181,171640818641181-358173,0-358173,14165,358173,25
0,171640818641181,171640818641181-358176,0-358176,14165,358176,25
0,171640818641181,171640818641181-358177,0-358177,14165,358177,25
0,171640818641181,171640818641181-358179,0-358179,14165,358179,25
0,171640784610681,171640784610681-303483,0-303483,17606,303483,10
0,171640781409394,171640781409394-303513,0-303513,14444,303513,0
0,171640784610681,171640784610681-303513,0-303513,14444,303513,10
0,171640784610681,171640784610681-303518,0-303518,14447,303518,10
0,171640784610681,171640784610681-303511,0-303511,23722,303511,10
0,171640808526563,171640808526563-303511,0-303511,23722,303511,15
0,171640808526563,171640808526563-334704,0-334704,14312,334704,15
0,171640818641181,171640818641181-357068,0-357068,14366,357068,20
0,171640818641181,171640818641181-357064,0-357064,14366,357064,20
0,171640818641181,171640818641181-362453,0-362453,14159,362453,20
0,171640818641181,171640818641181-362454,0-362454,14159,362454,20
0,171640818641181,171640818641181-362455,0-362455,14159,362455,20
0,171640818641181,171640818641181-362456,0-362456,14159,362456,20
0,171640818641181,171640818641181-383319,0-383319,14159,383319,20
0,171640818641181,171640818641181-390078,0-390078,14513,390078,15
0,171640818641181,171640818641181-421042,0-421042,14162,421042,12
0,171640818641181,171640818641181-421043,0-421043,14162,421043,12
0,171640784610681,171640784610681-421044,0-421044,14162,421044,10
0,171640808526563,171640808526563-421044,0-421044,14162,421044,12
0,171640781409394,171640781409394-421039,0-421039,52867,421039,0
0,171640784610681,171640784610681-421039,0-421039,52867,421039,10
0,171640797655057,171640797655057-421039,0-421039,52867,421039,12
0,171640808526563,171640808526563-421039,0-421039,52867,421039,12
0,171640813023962,171640813023962-421039,0-421039,52867,421039,12
0,171640818641181,171640818641181-341099,0-341099,14258,341099,15
0,171640818641181,171640818641181-341100,0-341100,14258,341100,15
0,171640818641181,171640818641181-437784,0-437784,14258,437784,15
0,171640818641181,171640818641181-437785,0-437785,14258,437785,15
12,0,0-427008,12-427008,15569,427008,30
12,0,0-427009,12-427009,15569,427009,30
12,0,0-427011,12-427011,15569,427011,30
12,0,0-427012,12-427012,15569,427012,30
12,0,0-427014,12-427014,15569,427014,30
12,0,0-427015,12-427015,15569,427015,30
12,0,0-427017,12-427017,15569,427017,30
12,0,0-427018,12-427018,15569,427018,30
12,0,0-428491,12-428491,15569,428491,30
12,0,0-428492,12-428492,15569,428492,30
12,0,0-428494,12-428494,15569,428494,30
12,0,0-428500,12-428500,13907,428500,30
12,0,0-428501,12-428501,13907,428501,30
12,0,0-428503,12-428503,13907,428503,30
12,0,0-427031,12-427031,15620,427031,30
12,0,0-428468,12-428468,13892,428468,30
12,0,0-428469,12-428469,13892,428469,30
12,0,0-428277,12-428277,13796,428277,30
12,0,0-428278,12-428278,13796,428278,30
12,0,0-430201,12-430201,14003,430201,20
12,0,0-430185,12-430185,14012,430185,20
12,0,0-430186,12-430186,14012,430186,20
12,0,0-428400,12-428400,13832,428400,25
12,0,0-428401,12-428401,13832,428401,25
12,0,0-328813,12-328813,13829,328813,25
12,0,0-421821,12-421821,13829,421821,25
12,0,0-421826,12-421826,13829,421826,25
12,0,0-421830,12-421830,13829,421830,25
12,0,0-328768,12-328768,24857,328768,25
12,0,0-428510,12-428510,40352,428510,30
12,0,0-428513,12-428513,40352,428513,30
12,0,0-428505,12-428505,15590,428505,30
12,0,0-428506,12-428506,15590,428506,30
12,0,0-428508,12-428508,15590,428508,30
12,0,0-428772,12-428772,13982,428772,20
12,0,0-428773,12-428773,13982,428773,20
12,0,0-428289,12-428289,13799,428289,30
12,0,0-428292,12-428292,13799,428292,30
12,0,0-428300,12-428300,15659,428300,30
12,0,0-428905,12-428905,13952,428905,30
12,0,0-428906,12-428906,13952,428906,30
12,0,0-428250,12-428250,13682,428250,30
12,0,0-428260,12-428260,40338,428260,30
12,0,0-428261,12-428261,40338,428261,30
12,0,0-428262,12-428262,40338,428262,30
12,0,0-428476,12-428476,23158,428476,30
12,0,0-428477,12-428477,23158,428477,30
12,0,0-428479,12-428479,23158,428479,30
12,0,0-428405,12-428405,13844,428405,25
12,0,0-428408,12-428408,13844,428408,25
12,0,0-428486,12-428486,15566,428486,30
12,0,0-428481,12-428481,13904,428481,30
12,0,0-428484,12-428484,13904,428484,30
12,0,0-428568,12-428568,70902,428568,30
12,0,0-428569,12-428569,70902,428569,30
12,0,0-428570,12-428570,70902,428570,30
12,0,0-428571,12-428571,70902,428571,30
12,0,0-428563,12-428563,70893,428563,30
12,0,0-428566,12-428566,70893,428566,30
12,0,0-428448,12-428448,13916,428448,30
12,0,0-428449,12-428449,13916,428449,30
12,0,0-428451,12-428451,13916,428451,30
12,0,0-428546,12-428546,57036,428546,30
12,0,0-428547,12-428547,57036,428547,30
12,0,0-428549,12-428549,57036,428549,30
12,0,0-428557,12-428557,57039,428557,30
12,0,0-428560,12-428560,57039,428560,30
12,0,0-428541,12-428541,13955,428541,30
12,0,0-428542,12-428542,13955,428542,30
12,0,0-428544,12-428544,13955,428544,30
12,0,0-428552,12-428552,13961,428552,30
12,0,0-428912,12-428912,13997,428912,20
12,0,0-428442,12-428442,22886,428442,30
12,0,0-428445,12-428445,22886,428445,30
12,0,0-428517,12-428517,15599,428517,30
12,0,0-428518,12-428518,15599,428518,30
12,0,0-428520,12-428520,15599,428520,30
12,0,0-428522,12-428522,13949,428522,30
12,0,0-428523,12-428523,13949,428523,30
12,0,0-428458,12-428458,13931,428458,30
12,0,0-428459,12-428459,13931,428459,30
12,0,0-428463,12-428463,13928,428463,30
12,0,0-428464,12-428464,13928,428464,30
12,0,0-428466,12-428466,13928,428466,30
12,0,0-429762,12-429762,14048,429762,30
12,0,0-429763,12-429763,14048,429763,30
12,0,0-438716,12-438716,14042,438716,30
12,0,0-429776,12-429776,14054,429776,30
12,0,0-429734,12-429734,14036,429734,30
12,0,0-429737,12-429737,14036,429737,30
12,0,0-429802,12-429802,14033,429802,30
12,0,0-429803,12-429803,14033,429803,30
12,0,0-429805,12-429805,14033,429805,30
12,0,0-428532,12-428532,15605,428532,30
12,0,0-428533,12-428533,15605,428533,30
12,0,0-428534,12-428534,15605,428534,30
12,0,0-428535,12-428535,15605,428535,30
12,0,0-430129,12-430129,15653,430129,30
12,0,0-430130,12-430130,15653,430130,30
12,0,0-430126,12-430126,22624,430126,30
12,0,0-428453,12-428453,22578,428453,30
12,0,0-428454,12-428454,22578,428454,30
12,0,0-428456,12-428456,22578,428456,30
12,0,0-430159,12-430159,22634,430159,30
12,0,0-430151,12-430151,22636,430151,30
12,0,0-430152,12-430152,22636,430152,30
12,0,0-430155,12-430155,22636,430155,30
12,0,0-428527,12-428527,22584,428527,30
12,0,0-428528,12-428528,22584,428528,30
12,0,0-428530,12-428530,22584,428530,30
12,0,0-428531,12-428531,22584,428531,30
12,0,0-429309,12-429309,23512,429309,20
12,0,0-429110,12-429110,72091,429110,20
12,0,0-428437,12-428437,73023,428437,30
12,0,0-439048,12-439048,73023,439048,30
10,0,0-427008,10-427008,15569,427008,30
10,0,0-427009,10-427009,15569,427009,30
10,0,0-427011,10-427011,15569,427011,30
10,0,0-427014,10-427014,15569,427014,30
10,0,0-427015,10-427015,15569,427015,30
10,0,0-427016,10-427016,15569,427016,30
10,0,0-427017,10-427017,15569,427017,30
10,0,0-428491,10-428491,15569,428491,30
10,0,0-428492,10-428492,15569,428492,30
10,0,0-428493,10-428493,15569,428493,30
10,0,0-428494,10-428494,15569,428494,30
10,0,0-428500,10-428500,13907,428500,30
10,0,0-428468,10-428468,13892,428468,30
10,0,0-428471,10-428471,13892,428471,30
10,0,0-428277,10-428277,13796,428277,30
10,0,0-428278,10-428278,13796,428278,30
10,0,0-429118,10-429118,15089,429118,20
10,0,0-429115,10-429115,13994,429115,20
10,0,0-429116,10-429116,13994,429116,20
10,0,0-428400,10-428400,13832,428400,25
10,0,0-428401,10-428401,13832,428401,25
10,0,0-428403,10-428403,13832,428403,25
10,0,0-421821,10-421821,13829,421821,25
10,0,0-428505,10-428505,15590,428505,30
10,0,0-428506,10-428506,15590,428506,30
10,0,0-428508,10-428508,15590,428508,30
10,0,0-428772,10-428772,13982,428772,20
10,0,0-429250,10-429250,15035,429250,20
10,0,0-428289,10-428289,13799,428289,30
10,0,0-428290,10-428290,13799,428290,30
10,0,0-428292,10-428292,13799,428292,30
10,0,0-428300,10-428300,15659,428300,30
10,0,0-428301,10-428301,15659,428301,30
10,0,0-428303,10-428303,15659,428303,30
10,0,0-428905,10-428905,13952,428905,30
10,0,0-428908,10-428908,13952,428908,30
10,0,0-428250,10-428250,13682,428250,30
10,0,0-428476,10-428476,23158,428476,30
10,0,0-428477,10-428477,23158,428477,30
10,0,0-428479,10-428479,23158,428479,30
10,0,0-428486,10-428486,15566,428486,30
10,0,0-428487,10-428487,15566,428487,30
10,0,0-428489,10-428489,15566,428489,30
10,0,0-428481,10-428481,13904,428481,30
10,0,0-428484,10-428484,13904,428484,30
10,0,0-428568,10-428568,70902,428568,30
10,0,0-428569,10-428569,70902,428569,30
10,0,0-428570,10-428570,70902,428570,30
10,0,0-428571,10-428571,70902,428571,30
10,0,0-351000,10-351000,70893,351000,30
10,0,0-428563,10-428563,70893,428563,30
10,0,0-428564,10-428564,70893,428564,30
10,0,0-428566,10-428566,70893,428566,30
10,0,0-428448,10-428448,13916,428448,30
10,0,0-428451,10-428451,13916,428451,30
10,0,0-428546,10-428546,57036,428546,30
10,0,0-428547,10-428547,57036,428547,30
10,0,0-428549,10-428549,57036,428549,30
10,0,0-428557,10-428557,57039,428557,30
10,0,0-428558,10-428558,57039,428558,30
10,0,0-428560,10-428560,57039,428560,30
10,0,0-428541,10-428541,13955,428541,30
10,0,0-428542,10-428542,13955,428542,30
10,0,0-428544,10-428544,13955,428544,30
10,0,0-428552,10-428552,13961,428552,30
10,0,0-428553,10-428553,13961,428553,30
10,0,0-428555,10-428555,13961,428555,30
10,0,0-428912,10-428912,13997,428912,20
10,0,0-428442,10-428442,22886,428442,30
10,0,0-428445,10-428445,22886,428445,30
10,0,0-428517,10-428517,15599,428517,30
10,0,0-428518,10-428518,15599,428518,30
10,0,0-428520,10-428520,15599,428520,30
10,0,0-428522,10-428522,13949,428522,30
10,0,0-428523,10-428523,13949,428523,30
10,0,0-428458,10-428458,13931,428458,30
10,0,0-428459,10-428459,13931,428459,30
10,0,0-428461,10-428461,13931,428461,30
10,0,0-428463,10-428463,13928,428463,30
10,0,0-428464,10-428464,13928,428464,30
10,0,0-428465,10-428465,13928,428465,30
10,0,0-428466,10-428466,13928,428466,30
10,0,0-429737,10-429737,14036,429737,30
10,0,0-429802,10-429802,14033,429802,30
10,0,0-428532,10-428532,15605,428532,30
10,0,0-428533,10-428533,15605,428533,30
10,0,0-428534,10-428534,15605,428534,30
10,0,0-428535,10-428535,15605,428535,30
10,0,0-430129,10-430129,15653,430129,30
10,0,0-430130,10-430130,15653,430130,30
10,0,0-430131,10-430131,15653,430131,30
10,0,0-430109,10-430109,22618,430109,30
10,0,0-430101,10-430101,22622,430101,30
10,0,0-428453,10-428453,22578,428453,30
10,0,0-428454,10-428454,22578,428454,30
10,0,0-428455,10-428455,22578,428455,30
10,0,0-428456,10-428456,22578,428456,30
10,0,0-428527,10-428527,22584,428527,30
10,0,0-428528,10-428528,22584,428528,30
10,0,0-428530,10-428530,22584,428530,30
10,0,0-428437,10-428437,73023,428437,30
10,0,0-439048,10-439048,73023,439048,30
10,0,0-428577,10-428577,74762,428577,30
10,0,0-428580,10-428580,74762,428580,30
10,0,0-421044,10-421044,14162,421044,12
30,0,0-427008,30-427008,15569,427008,25
30,0,0-421825,30-421825,13829,421825,25
30,0,0-428532,30-428532,15605,428532,25
30,0,0-428533,30-428533,15605,428533,25
30,0,0-421044,30-421044,14162,421044,10
92,0,0-428255,92-428255,13685,428255,25
28,0,0-427014,28-427014,15569,427014,30
28,0,0-427017,28-427017,15569,427017,30
28,0,0-428491,28-428491,15569,428491,30
28,0,0-421821,28-421821,13829,421821,25
28,0,0-328765,28-328765,24857,328765,25
28,0,0-328770,28-328770,24857,328770,25
28,0,0-328771,28-328771,24857,328771,25
28,0,0-428546,28-428546,57036,428546,30
28,0,0-428547,28-428547,57036,428547,30
28,0,0-428549,28-428549,57036,428549,30
28,0,0-428463,28-428463,13928,428463,30
28,0,0-428532,28-428532,15605,428532,30
28,0,0-428535,28-428535,15605,428535,30
16,0,0-427014,16-427014,15569,427014,25
16,0,0-428491,16-428491,15569,428491,25
16,0,0-429115,16-429115,13994,429115,20
16,0,0-430195,16-430195,14006,430195,20
16,0,0-428505,16-428505,15590,428505,25
16,0,0-428506,16-428506,15590,428506,25
16,0,0-428508,16-428508,15590,428508,25
16,0,0-428273,16-428273,61384,428273,25
16,0,0-428275,16-428275,61384,428275,25
16,0,0-428476,16-428476,23158,428476,25
16,0,0-428477,16-428477,23158,428477,25
16,0,0-428479,16-428479,23158,428479,25
16,0,0-428552,16-428552,13961,428552,25
16,0,0-428517,16-428517,15599,428517,25
16,0,0-428520,16-428520,15599,428520,25
16,0,0-428458,16-428458,13931,428458,25
16,0,0-428459,16-428459,13931,428459,25
16,0,0-428461,16-428461,13931,428461,25
16,0,0-428463,16-428463,13928,428463,25
16,0,0-428466,16-428466,13928,428466,25
16,0,0-428532,16-428532,15605,428532,25
16,0,0-428535,16-428535,15605,428535,25
16,0,0-428527,16-428527,22584,428527,25
16,0,0-428530,16-428530,22584,428530,25
262,0,0-427008,262-427008,15569,427008,30
262,0,0-427009,262-427009,15569,427009,30
262,0,0-427011,262-427011,15569,427011,30
262,0,0-427012,262-427012,15569,427012,30
262,0,0-427014,262-427014,15569,427014,30
262,0,0-427015,262-427015,15569,427015,30
262,0,0-427016,262-427016,15569,427016,30
262,0,0-427017,262-427017,15569,427017,30
262,0,0-427018,262-427018,15569,427018,30
262,0,0-428494,262-428494,15569,428494,30
262,0,0-429875,262-429875,15620,429875,30
262,0,0-422869,262-422869,13829,422869,25
262,0,0-422875,262-422875,13829,422875,25
262,0,0-428510,262-428510,40352,428510,30
262,0,0-428505,262-428505,15590,428505,30
262,0,0-428481,262-428481,13904,428481,30
262,0,0-428517,262-428517,15599,428517,30
262,0,0-428522,262-428522,13949,428522,30
262,0,0-428458,262-428458,13931,428458,30
262,0,0-428532,262-428532,15605,428532,30
262,0,0-429110,262-429110,72091,429110,20
262,0,0-429099,262-429099,73825,429099,20
262,0,0-429100,262-429100,73825,429100,20
262,0,0-429102,262-429102,73911,429102,20
262,0,0-429103,262-429103,73911,429103,20
262,0,0-366839,262-366839,74769,366839,20
262,0,0-366840,262-366840,74769,366840,20
262,0,0-366841,262-366841,74770,366841,20
262,0,0-366842,262-366842,74770,366842,20
665,0,0-421818,665-421818,13829,421818,20
665,0,0-421819,665-421819,13829,421819,20
665,0,0-421823,665-421823,13829,421823,20
665,0,0-421824,665-421824,13829,421824,20
665,0,0-421827,665-421827,13829,421827,20
665,0,0-421828,665-421828,13829,421828,20
665,0,0-421835,665-421835,13829,421835,20
665,0,0-422869,665-422869,13829,422869,20
665,0,0-422875,665-422875,13829,422875,20
665,0,0-422876,665-422876,13829,422876,20
665,0,0-422879,665-422879,13829,422879,20
665,0,0-422880,665-422880,13829,422880,20
665,0,0-428900,665-428900,13805,428900,30
665,0,0-428902,665-428902,13805,428902,30
1304,0,0-421818,1304-421818,13829,421818,25
1304,0,0-421819,1304-421819,13829,421819,25
1304,0,0-421823,1304-421823,13829,421823,25
1304,0,0-422879,1304-422879,13829,422879,25
5316,0,0-428481,5316-428481,13904,428481,25
5316,0,0-428448,5316-428448,13916,428448,25
5316,0,0-428541,5316-428541,13955,428541,25
5316,0,0-428463,5316-428463,13928,428463,25
1430,0,0-428500,1430-428500,13907,428500,30
1430,0,0-428468,1430-428468,13892,428468,30
1430,0,0-428277,1430-428277,13796,428277,30
1430,0,0-421821,1430-421821,13829,421821,25
1430,0,0-422869,1430-422869,13829,422869,25
1430,0,0-422875,1430-422875,13829,422875,25
1430,0,0-422876,1430-422876,13829,422876,25
1430,0,0-422879,1430-422879,13829,422879,25
1430,0,0-422880,1430-422880,13829,422880,25
1430,0,0-428900,1430-428900,13805,428900,30
1430,0,0-428505,1430-428505,15590,428505,30
1430,0,0-428289,1430-428289,13799,428289,30
1430,0,0-428300,1430-428300,15659,428300,30
1430,0,0-428301,1430-428301,15659,428301,30
1430,0,0-428250,1430-428250,13682,428250,30
1430,0,0-428255,1430-428255,13685,428255,30
1430,0,0-428476,1430-428476,23158,428476,30
